Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Week,Resultaten test,Club,Transfer deadline,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2
Onbekend,Aarab Yalda,5801306,20,Al-Maghrib,Vrouw,210,Zonder specialiteit,15,1,15,164,62,10,[],False,,9,0,1,0,7,1,2,0,0
Onbekend,Aasen Kristina,5803079,21,Norge,Vrouw,630,Zonder specialiteit,20,1,15,171,71,10,[],False,,7,1,9,2,3,8,2,0,0
400 meter horden,Ababou Girlie,5335904,27,Pilipinas,Vrouw,5620,Sprinters,20,10,11,182,77,10,"[('100 Metri', '13.88 s', '820'), ('200 Metri', '27.6 s', '793'), ('400 piani', '1:03.12', '837'), ('110 ostacoli', '20.06 s', '797'), ('400 ostacoli', '1:11.90', '908')]",False,,14,13,1,11,4,2,2,8,8
10.000 meter,Ababou Marife,5335907,27,Pilipinas,Vrouw,20360,Langeafstandslopers,20,8,13,185,78,10,"[('5000 Metri', '18:54.23', '792'), ('10000 Metri', '40:00.64', '859'), ('Maratona', '2h:49:44.73', '871')]",False,,11,3,18,2,3,1,2,11,11
Onbekend,Abadexo Aritz,5754111,25,España,Man,1880,Werpers,16,1,11,169,75,10,"[('Getto del peso', '8.94 m', '101'), ('Lancio del disco', '31.4 m', '150'), ('Lancio del martello', '29.79 m', '77'), ('Giavellotto', '31.58 m', '119')]",False,,13,10,0,1,2,1,9,9,5
Vijfkamp Mannen,Abaloira Justo,5230563,31,España,Man,1210,Meerkampers,20,8,17,192,95,10,"[('Pentathlon Men - Long Jump', '2.52 m', '395'), ('Pentathlon Men - Javelin Throw', '33.16 m', '533'), ('Pentathlon Men - 200 Metres', '27.41 s', '608'), ('Pentathlon Men - Discus Throw', '27.02 m', '455'), ('Pentathlon Men - 1500 Metres', '4:54.42', '535'), ('Decathlon - 100 Metres', '14 s', '513'), ('Decathlon - Long Jump', '2.45 m', '383'), ('Decathlon - Shot Put', '7.35 m', '415'), ('Decathlon - High Jump', '0.58 m', '345'), ('Decathlon - 400 Metres', '1:02.37', '580'), ('Decathlon - 110 Metres Hurdles', '21.08 s', '527'), ('Decathlon - Discus Throw', '26.3 m', '443'), ('Decathlon - Pole Vault', '1.49 m', '313'), ('Decathlon - Javelin Throw', '32.3 m', '519'), ('Decathlon - 1500 Metres', '4:58.91', '490'), ('Pentathlon Men', '2525 p', '505'), ('Decathlon', '4528 p', '453')]",False,,17,2,2,5,2,0,8,8,6
Onbekend,Abantos Eduard,5801354,17,España,Man,730,Zonder specialiteit,17,1,15,186,82,10,[],False,,18,3,1,7,3,2,3,0,0
Onbekend,Abarca Tomas,5800467,23,Chile,Man,1400,Zonder specialiteit,14,1,15,186,83,10,[],False,,19,10,3,3,1,3,2,0,0
Onbekend,Abbas Nizsm,5801742,23,Miṣr,Man,890,Zonder specialiteit,16,1,15,192,91,10,[],False,,18,5,1,2,9,4,5,0,0
50 km snelwandelen,Abbot Harry,5379625,26,Great Britain,Man,20540,Snelwandelaars,20,7,18,193,99,10,"[('Marcia 10Km', '56:32.52', '860'), ('Marcia 20Km', '1h:48:28.09', '902'), ('Marcia 50Km', '4h:29:46.41', '913')]",False,,17,2,19,5,7,2,2,10,10
Onbekend,Abbott Angel,5800928,15,United States,Man,200,Zonder specialiteit,17,1,15,169,66,10,[],False,,9,7,2,1,1,1,3,0,0
Onbekend,Abd Rahman Dayang,5801735,24,Malaysia,Vrouw,270,Zonder specialiteit,15,1,15,171,64,10,[],False,,10,8,2,2,5,3,2,0,0
Onbekend,Abdurasihid Halida,5759839,16,Bosna i Hercegovina,Vrouw,740,Snelwandelaars,13,1,16,171,68,10,"[('Marcia 10Km', '1h:07:00.69', '664'), ('Marcia 20Km', '2h:15:42.41', '623'), ('Marcia 50Km', '5h:33:20.51', '591')]",False,,9,0,9,1,8,6,0,4,6
Kogelstoten,Abeijón Llora,5656006,18,España,Vrouw,280,Werpers,20,2,15,182,81,10,"[('Getto del peso', '5.17 m', '0'), ('Lancio del disco', '19.67 m', '0'), ('Lancio del martello', '17.54 m', '0'), ('Giavellotto', '17.92 m', '0')]",False,,13,2,2,0,2,3,5,6,6
Onbekend,Abela Ismael,5799453,16,Malta,Man,330,Zonder specialiteit,12,1,15,167,66,10,[],False,,10,2,1,5,8,2,2,0,0
Onbekend,Ābele Viesturs,5802025,24,Latvija,Man,910,Zonder specialiteit,12,1,15,177,85,10,[],False,,20,3,4,3,6,2,3,0,0
Onbekend,Abeylegesse Özer,5801822,21,Türkiye,Man,890,Zonder specialiteit,14,1,15,194,89,10,[],False,,18,1,4,1,8,6,1,0,0
Onbekend,Abeyta Iraide,5754078,16,España,Vrouw,1130,Sprinters,20,1,11,156,58,10,"[('100 Metri', '14.82 s', '654'), ('200 Metri', '29.53 s', '620'), ('400 piani', '1:07.86', '655'), ('110 ostacoli', '21.28 s', '648'), ('400 ostacoli', '1:17.78', '715')]",False,,11,5,3,10,3,1,0,8,6
Onbekend,Abidin Surya,5775990,17,Indonesia,Man,820,Middenafstandslopers,20,1,15,181,77,10,"[('800 Metri', '2:27.57', '627'), ('1500 Metri', '4:52.70', '625'), ('3000 siepi', '14:27.01', '649')]",False,,15,2,8,2,3,0,2,5,8
Onbekend,Aboutrika Tahirah,5800904,24,Miṣr,Vrouw,70,Zonder specialiteit,11,1,15,163,57,10,[],False,,8,1,2,5,3,2,2,0,0
Hinkstapspringen,Abreu Máximo,5064705,35,España,Man,16720,Springers,18,13,15,178,66,10,"[('Salto in alto', '1.61 m', '694'), (""Salto con l'asta"", '4.58 m', '747'), ('Salto in lungo', '6.03 m', '701'), ('Salto triplo', '12.58 m', '748')]",False,,18,0,0,0,14,15,0,10,11
Onbekend,Acconcia Ilaria,5676999,17,Italia,Vrouw,1210,Werpers,20,3,18,178,84,10,"[('Getto del peso', '8.86 m', '131'), ('Lancio del disco', '34.5 m', '234'), ('Lancio del martello', '30.64 m', '204'), ('Giavellotto', '29.41 m', '274')]",False,,15,6,2,2,5,2,10,6,6
Onbekend,Aceski Boris,5802848,17,FYR Makedonija,Man,250,Zonder specialiteit,20,1,15,183,77,10,[],False,,15,1,5,3,3,2,1,0,0
Onbekend,Acevedo Ashley,5753730,26,United States,Vrouw,980,Springers,17,1,11,174,67,10,"[('Salto in alto', '0.55 m', '0'), (""Salto con l'asta"", '1.42 m', '0'), ('Salto in lungo', '2.28 m', '28'), ('Salto triplo', '3.87 m', '0')]",False,,14,1,1,6,3,7,1,9,2
Onbekend,Acevedo Carla,5800626,23,Perú,Vrouw,990,Zonder specialiteit,11,1,15,176,69,10,[],False,,20,1,6,2,4,2,3,0,0
Onbekend,Acevedo Francesc,5766164,17,España,Man,740,Middenafstandslopers,17,1,15,170,70,10,"[('800 Metri', '2:28.52', '610'), ('1500 Metri', '4:52.89', '623'), ('3000 siepi', '14:42.61', '602')]",False,,16,2,4,5,4,2,3,8,3
Onbekend,Acosta Mario,5803397,23,Chile,Man,1420,Zonder specialiteit,11,1,15,180,78,10,[],False,,6,1,10,10,1,2,2,0,0
Onbekend,Acosta Ricardo,5800175,16,Costa Rica,Man,850,Zonder specialiteit,20,1,14,164,63,10,[],False,,12,4,10,2,3,2,3,0,0
Polsstokhoogspringen,Acosta Sabrina,5238170,31,United States,Vrouw,10290,Springers,20,10,14,183,65,10,"[('Salto in alto', '1.34 m', '584'), (""Salto con l'asta"", '3.27 m', '663'), ('Salto in lungo', '4.43 m', '601'), ('Salto triplo', '9.08 m', '636')]",False,,16,2,1,2,13,14,3,10,11
Onbekend,Acuña Guadalupe,5802666,22,Costa Rica,Vrouw,1170,Zonder specialiteit,13,1,15,174,71,10,[],False,,20,5,7,1,2,2,5,0,0
Onbekend,Acuto Nicola,5801026,22,Italia,Man,1560,Springers,12,1,13,191,82,10,[],False,,18,3,2,4,6,10,2,6,3
Kogelstoten,Adamiak Ireneusz,4888600,39,Polska,Man,11480,Werpers,11,17,17,182,122,10,"[('Getto del peso', '12.28 m', '354'), ('Lancio del disco', '38.33 m', '311'), ('Lancio del martello', '39.39 m', '288'), ('Giavellotto', '41.13 m', '329')]",False,,8,9,0,0,0,0,7,10,10
Onbekend,Adang Aimi,5802818,24,Indonesia,Vrouw,1190,Zonder specialiteit,15,1,15,167,62,10,[],False,,19,9,1,0,2,2,3,0,0
Onbekend,Addcock Chelsea,5766385,24,New Zealand,Vrouw,1910,Meerkampers,18,1,11,173,72,10,"[('Pentathlon Women - 100 Metres Hurdles', '21.77 s', '540'), ('Pentathlon Women - High Jump', '0.36 m', '238'), ('Pentathlon Women - Shot Put', '8.58 m', '504'), ('Pentathlon Women - Long Jump', '1.6 m', '307'), ('Pentathlon Women - 800 Metres', '2:49.35', '493'), ('Heptathlon - 100 Metres Hurdles', '21.79 s', '537'), ('Heptathlon - High Jump', '0.36 m', '238'), ('Heptathlon - Shot Put', '8.76 m', '515'), ('Heptathlon - 200 Metres', '30.35 s', '421'), ('Heptathlon - Long Jump', '1.59 m', '305'), ('Heptathlon - Javelin Throw', '25.02 m', '527'), ('Heptathlon - 800 Metres', '2:49.63', '488'), ('Pentathlon Women', '2082 p', '416'), ('Heptathlon', '3031 p', '433')]",False,,13,10,1,2,3,1,9,10,2
Onbekend,Adel Ata,5802668,15,Miṣr,Man,330,Zonder specialiteit,11,1,15,182,82,10,[],False,,12,2,5,2,8,2,2,0,0
Onbekend,Adel Mudads,5800235,21,Miṣr,Man,770,Zonder specialiteit,11,1,15,171,74,10,[],False,,17,7,6,1,2,7,2,0,0
Onbekend,Adeola Abagbe,5803437,17,Nigeria,Vrouw,1160,Zonder specialiteit,13,1,15,154,48,10,[],False,,10,10,1,0,1,5,7,0,0
Onbekend,Adeshina Dayo,5801098,22,Nigeria,Vrouw,540,Zonder specialiteit,17,1,15,175,76,10,[],False,,12,1,9,2,2,1,5,0,0
Onbekend,Adigue Iska,5802837,17,Pilipinas,Vrouw,1020,Zonder specialiteit,20,1,15,165,62,10,[],False,,20,3,1,4,3,4,6,0,0
Onbekend,Admiraal Egbert,5794321,16,Nederland,Man,610,Middenafstandslopers,17,1,15,172,68,10,"[('800 Metri', '2:29.77', '587'), ('1500 Metri', '4:53.67', '616'), ('3000 siepi', '14:39.16', '613')]",False,,7,6,9,0,0,2,3,4,6
