Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Resultaten test,Club,Transfer deadline,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2
Onbekend,Aarup Søren,5669618,15,Danmark,Man,490,Zonder specialiteit,18,1,15,151,53,[],False,,17,2,1,2,5,1,1,0,0
Onbekend,Abarrientos Rizalia,5668885,24,Pilipinas,Vrouw,1010,Zonder specialiteit,13,1,15,161,61,[],False,,11,1,7,1,10,3,3,0,0
Onbekend,Abaye Obayana,5669969,19,Nigeria,Man,70,Zonder specialiteit,13,1,15,178,77,[],False,,8,2,2,1,1,5,1,0,0
Onbekend,Abdi Intan,5669739,19,Indonesia,Vrouw,50,Zonder specialiteit,15,1,15,171,63,[],False,,7,2,1,3,3,1,3,0,0
Onbekend,Abdul Salam Rhyanna,5669652,22,Malaysia,Vrouw,1070,Zonder specialiteit,16,1,15,169,66,[],False,,12,5,5,1,10,2,0,0,0
Onbekend,Abela Tyler,5671696,16,Malta,Man,220,Zonder specialiteit,18,1,15,169,70,[],False,,12,1,2,2,7,1,3,0,0
Onbekend,Ābele Solvita,5671090,15,Latvija,Vrouw,480,Zonder specialiteit,19,1,15,154,50,[],False,,8,1,2,1,3,9,1,0,0
Onbekend,Abeylegesse Tuncay,5669740,20,Türkiye,Man,90,Zonder specialiteit,16,1,15,187,87,[],False,,10,5,3,3,1,3,3,0,0
Speerwerpen,Ablanedo Roi,4860178,37,España,Man,890,Werpers,12,11,18,185,87,"[('Kogelstoten', '3.85 m', '0', 1), ('Discuswerpen', '15.19 m', '0', 1), ('Kogelslingeren', '14.68 m', '0', 1), ('Speerwerpen', '19.87 m', '0', 1)]",False,,7,0,0,5,0,0,2,2,3
Onbekend,Aboutrika Lateef,5670195,20,Miṣr,Man,780,Zonder specialiteit,18,1,15,192,94,[],False,,11,7,2,1,9,2,1,0,0
Onbekend,Abović Milivoje,5671317,15,Srbija,Man,770,Zonder specialiteit,11,1,15,181,78,[],False,,10,6,10,1,3,1,2,0,0
Onbekend,Abrahams Dean,5669001,16,Great Britain,Man,1120,Springers,16,1,14,182,81,"[('Hoogspringen', '0.68 m', '0', 1), ('Polsstokhoogspringen', '1.90 m', '0', 1), ('Verspringen', '2.72 m', '10', 1), ('Hinkstapspringen', '5.15 m', '0', 1)]",False,,17,8,3,1,3,4,2,8,8
Onbekend,Abu Samah Haron,5670238,24,Malaysia,Man,210,Zonder specialiteit,11,1,15,171,69,[],False,,12,2,7,2,2,2,1,0,0
Onbekend,Aceituno Angelines,5638057,17,España,Vrouw,950,Zonder specialiteit,20,1,12,166,67,[],False,,13,0,1,8,10,3,3,0,0
Onbekend,Acharjee Assam Balachandran,5669392,22,India,Man,1620,Zonder specialiteit,15,1,15,190,88,[],False,,20,3,1,3,10,2,2,0,0
Onbekend,Acharjee Assam Bhumitra,5668337,17,India,Man,1000,Zonder specialiteit,15,1,14,177,78,[],False,,13,3,4,9,9,3,3,0,0
Onbekend,Acosta Maritza,5670820,16,Perú,Vrouw,870,Zonder specialiteit,12,1,15,173,68,[],False,,9,8,9,3,2,2,1,0,0
Onbekend,Adam Katie,5669587,16,New Zealand,Vrouw,100,Zonder specialiteit,19,1,15,158,53,[],False,,10,3,5,2,1,1,1,0,0
Onbekend,Adami Desmond,5652568,18,Malta,Man,180,Middenafstandslopers,18,1,16,181,80,"[('800 meter', '2:29.47', '593', 1), ('1.500 meter', '5:00.29', '557', 1), ('3.000 meter steeplechase', '14:54.05', '568', 1)]",False,,11,0,4,3,3,1,2,6,5
