Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Resultaten test,Club,Transfer deadline,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2
Onbekend,Aas Vibeke,5680648,15,Norge,Vrouw,240,Zonder specialiteit,18,1,15,152,52,[],False,,10,0,3,8,2,1,2,0,0
Onbekend,Aavikko Minna,5674858,15,Suomi,Vrouw,710,Zonder specialiteit,12,1,15,170,65,[],False,,19,3,2,5,4,3,3,0,0
Onbekend,Abancéns Elías,5681460,17,España,Man,830,Zonder specialiteit,15,1,15,179,78,[],False,,9,1,2,3,10,2,3,0,0
Onbekend,Abarca Lidia,5670536,17,España,Vrouw,650,Middenafstandslopers,18,1,15,167,65,"[('800 meter', '2:49.43', '483', 5), ('1.500 meter', '5:36.67', '494', 5), ('3.000 meter steeplechase', '17:59.95', '544', 5)]",False,,14,3,2,2,9,1,3,5,6
400 meter,Abarca Zacarías,5446411,21,España,Man,3700,Sprinters,20,3,15,175,80,"[('100 meter', '12.97 s', '782', 5), ('200 meter', '25.73 s', '837', 5), ('400 meter', '56.21 s', '919', 5), ('110 meter horden', '19.63 s', '819', 5), ('400 meter horden', '1:06.67', '889', 5)]",False,,15,6,3,12,5,2,1,9,9
Onbekend,Abdihodzic Lejsudin,5682989,19,Bosna i Hercegovina,Man,120,Zonder specialiteit,16,1,15,170,72,[],False,,12,2,2,3,5,3,0,0,0
Onbekend,Abdullah Lat,5683005,16,Malaysia,Man,540,Zonder specialiteit,16,1,15,177,78,[],False,,8,2,3,3,2,3,9,0,0
Onbekend,Ābele Broņislava,5682577,20,Latvija,Vrouw,60,Zonder specialiteit,18,1,15,175,72,[],False,,6,3,3,3,3,2,3,0,0
Onbekend,Abitbol Julien,5681929,15,France,Man,920,Zonder specialiteit,12,1,15,161,68,[],False,,20,6,3,1,2,6,1,0,0
Onbekend,Abós Guillem,5679083,17,España,Man,240,Zonder specialiteit,18,1,15,171,67,[],False,,14,5,2,3,1,3,5,0,0
Onbekend,Abraham Raquel,5682575,20,Argentina,Vrouw,730,Zonder specialiteit,16,1,15,175,75,[],False,,13,3,10,5,1,1,1,0,0
Onbekend,Abraham Xavier,5679976,22,Argentina,Man,450,Zonder specialiteit,20,1,14,180,81,[],False,,7,8,2,2,8,3,2,0,0
Onbekend,Aceituno Marcelino,5680800,16,Perú,Man,1180,Zonder specialiteit,12,1,15,165,62,[],False,,18,1,1,1,10,2,1,0,0
Onbekend,Acevedo Marta,5680464,16,Chile,Vrouw,430,Zonder specialiteit,11,1,15,168,64,[],False,,16,3,3,2,7,2,2,0,0
Marathon,Acuña Fernando,5536705,20,España,Man,2490,Langeafstandslopers,20,3,16,186,89,"[('5.000 meter', '17:31.07', '573', 5), ('10.000 meter', '39:59.69', '600', 5), ('Marathon', '2h:40:32.16', '696', 5)]",False,,16,2,11,4,1,1,2,9,9
Onbekend,Adamczak Wioletta,5682269,17,Polska,Vrouw,70,Zonder specialiteit,19,1,15,160,54,[],False,,8,1,2,1,5,3,2,0,0
Onbekend,Adamko Bartolomej,5680451,15,Slovensko,Man,990,Zonder specialiteit,14,1,15,171,72,[],False,,13,1,7,2,2,1,10,0,0
Onbekend,Adegbeingbe Omolara,5682719,16,Nigeria,Vrouw,1140,Zonder specialiteit,17,1,15,169,60,[],False,,17,2,2,2,10,2,6,0,0
Onbekend,Adel Osiris,5680759,19,Miṣr,Man,60,Zonder specialiteit,11,1,15,190,89,[],False,,7,3,1,2,1,2,3,0,0
Onbekend,Adelsperger Volker,5676781,16,Deutschland,Man,790,Zonder specialiteit,20,1,15,166,64,[],False,,18,8,3,3,1,5,3,0,0
Onbekend,Adi Ogbonna,5680379,22,Nigeria,Man,150,Zonder specialiteit,16,1,15,188,83,[],False,,6,3,7,2,2,2,2,0,0
Onbekend,Adiele Abagbe,5679868,16,Nigeria,Vrouw,890,Zonder specialiteit,18,1,15,162,58,[],False,,17,9,3,1,3,1,3,0,0
Onbekend,Adinolfi Marta,5682678,20,Uruguay,Vrouw,1860,Zonder specialiteit,17,1,15,181,76,[],False,,19,10,2,2,1,7,3,0,0
Onbekend,Adiputra Taufik,5680292,18,Indonesia,Man,890,Zonder specialiteit,11,1,14,175,75,[],False,,20,1,2,1,3,2,3,0,0
Onbekend,Adorno Climén,5556332,18,España,Man,4740,Springers,16,1,12,183,84,[],False,,10,8,2,0,1,14,1,7,4
Onbekend,Afolabi Fola,5683016,18,Nigeria,Vrouw,410,Zonder specialiteit,18,1,15,180,71,[],False,,8,3,9,0,3,1,3,0,0
Onbekend,Afonso Emmanuelle,5682203,14,France,Vrouw,420,Zonder specialiteit,11,1,15,144,39,[],False,,17,2,2,4,2,3,2,0,0
