Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Resultaten test,Club,Transfer deadline,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2
Onbekend,Aarts Fransje,5575042,17,Nederland,Vrouw,700,Middenafstandslopers,18,3,13,171,77,"[('800 meter', '2:49.37', '484', 3), ('1.500 meter', '5:39.28', '472', 3), ('3.000 meter steeplechase', '18:07.63', '525', 3)]",False,,6,9,2,3,3,1,2,6,6
Onbekend,Aas Dagfinn,5677627,24,Norge,Man,920,Zonder specialiteit,20,1,15,185,80,[],False,,19,7,1,2,0,1,3,0,0
Marathon,Abbas Makalani,5516682,26,Miṣr,Man,6400,Langeafstandslopers,20,4,16,178,74,"[('5.000 meter', '16:07.98', '786', 3), ('10.000 meter', '37:40.81', '755', 3), ('Marathon', '2h:32:02.61', '832', 3)]",False,,18,2,13,10,2,2,1,11,9
Onbekend,Abdelaati Moses,5676281,24,Miṣr,Man,170,Zonder specialiteit,14,1,14,187,83,[],False,,9,2,3,7,3,0,1,0,0
Onbekend,Abdelaziz Aziza,5676395,20,Miṣr,Vrouw,590,Zonder specialiteit,11,1,14,171,69,[],False,,15,8,6,2,2,2,6,0,0
Onbekend,Abdulova Vasilisa,5675854,16,Belarus,Vrouw,240,Zonder specialiteit,15,1,14,167,61,[],False,,15,4,1,1,4,2,3,0,0
Onbekend,Abe Kumiko,5676747,24,Nippon,Vrouw,780,Zonder specialiteit,16,1,15,187,86,[],False,,19,3,2,1,5,1,2,0,0
Onbekend,Abentung Laura,5675534,21,Österreich,Vrouw,680,Zonder specialiteit,20,1,14,173,65,[],False,,15,1,1,3,9,3,2,0,0
Onbekend,Abidin Devika,5676609,17,Indonesia,Vrouw,1160,Zonder specialiteit,14,1,15,168,63,[],False,,16,10,2,1,7,4,2,0,0
Onbekend,Abildtrup Rebecca,5677076,20,Danmark,Vrouw,430,Zonder specialiteit,17,1,15,165,62,[],False,,12,3,0,3,0,9,3,0,0
Onbekend,Āboliņa Zigrīda,5674418,14,Latvija,Vrouw,170,Zonder specialiteit,16,1,14,158,59,[],False,,14,3,2,3,1,3,2,0,0
Onbekend,Abramova Zinaida,5668701,14,Belarus,Vrouw,470,Springers,11,1,14,163,56,"[('Hoogspringen', '0.48 m', '0', 3), ('Polsstokhoogspringen', '1.18 m', '0', 3), ('Verspringen', '2.10 m', '0', 3), ('Hinkstapspringen', '3.45 m', '0', 3)]",False,,14,1,2,7,1,6,2,5,7
Onbekend,Abrioux Clémence,5662753,17,France,Vrouw,550,Zonder specialiteit,17,1,13,172,70,[],False,,16,1,7,2,1,7,1,0,0
100 meter,Accetta Fedele,5018182,33,Italia,Man,17040,Sprinters,16,10,15,178,55,"[('100 meter', '12.03 s', '962', 3), ('200 meter', '24.65 s', '939', 3), ('400 meter', '54.56 s', '988', 3), ('110 meter horden', '18.98 s', '900', 3), ('400 meter horden', '1:05.54', '929', 3)]",False,,10,8,1,18,3,1,0,10,11
Onbekend,Aceval Carolina,5676245,24,Chile,Vrouw,840,Zonder specialiteit,11,1,15,173,63,[],False,,6,2,7,4,1,2,10,0,0
Onbekend,Achami Hasan,5676841,16,Al-Maghrib,Man,340,Zonder specialiteit,14,1,15,175,75,[],False,,12,6,2,1,2,1,8,0,0
Onbekend,Acosta Florencio,5676813,21,Perú,Man,1180,Zonder specialiteit,20,1,15,177,74,[],False,,8,9,2,10,3,2,2,0,0
Onbekend,Acuña Eduardo,5677747,21,Colombia,Man,480,Zonder specialiteit,12,1,15,183,78,[],False,,17,2,2,1,1,0,2,0,0
Onbekend,Acuña Tania,5675203,23,Perú,Vrouw,1010,Zonder specialiteit,20,1,14,178,72,[],False,,16,3,8,2,2,2,9,0,0
Onbekend,Adach Mirosław,5667803,16,Polska,Man,520,Zonder specialiteit,14,1,14,172,71,[],False,,9,2,2,7,3,9,3,0,0
Onbekend,Adamov Ana,5676908,17,Srbija,Vrouw,160,Zonder specialiteit,12,1,15,167,64,[],False,,8,7,3,3,1,3,2,0,0
Onbekend,Adams Ben,5676623,21,New Zealand,Man,650,Zonder specialiteit,17,1,15,197,96,[],False,,14,2,2,9,1,0,0,0,0
Onbekend,Adelaide Salomé,5656479,16,France,Vrouw,560,Snelwandelaars,15,1,16,165,63,"[('10 km snelwandelen', '1h:07:44.01', '635', 3), ('20 km snelwandelen', '2h:17:19.43', '592', 3), ('50 km snelwandelen', '5h:40:18.99', '536', 3)]",False,,11,0,8,3,7,1,3,6,4
Onbekend,Adewunmi Adeleke,5675337,20,Nigeria,Vrouw,1000,Zonder specialiteit,18,1,15,192,86,[],False,,7,2,3,1,10,6,2,0,0
Onbekend,Adiputra Bobby,5675829,16,Indonesia,Man,120,Zonder specialiteit,18,1,15,165,64,[],False,,8,6,0,1,1,2,1,0,0
Hoogspringen,Adlerberg Lina,5009768,35,Sverige,Vrouw,13950,Springers,14,16,17,182,75,"[('Hoogspringen', '1.12 m', '390', 3), ('Polsstokhoogspringen', '2.54 m', '386', 3), ('Verspringen', '3.93 m', '468', 3), ('Hinkstapspringen', '7.12 m', '374', 3)]",False,,14,0,0,2,1,12,0,13,12
Onbekend,Adriani Ivano,5676710,17,Italia,Man,500,Zonder specialiteit,12,1,15,175,79,[],False,,8,3,1,4,9,3,3,0,0
Onbekend,Afek Malachi,5677327,19,Yisra'el,Man,350,Zonder specialiteit,19,1,15,178,83,[],False,,16,3,4,1,1,2,3,0,0
Onbekend,Affandi Tirta,5677925,15,Indonesia,Man,810,Zonder specialiteit,18,1,15,177,80,[],False,,12,6,0,3,0,10,4,0,0
Onbekend,Aggeliniou Mosxoula,5637493,17,Hellas,Vrouw,1080,Zonder specialiteit,20,1,11,174,74,[],False,,20,1,1,1,1,7,7,0,0
Onbekend,Agic Dzenan,5677314,22,Bosna i Hercegovina,Man,250,Zonder specialiteit,16,1,15,178,80,[],False,,8,2,5,6,1,7,2,0,0
Onbekend,Agisilaou Dimos,5675612,22,Cyprus,Man,50,Zonder specialiteit,20,1,14,173,67,[],False,,8,2,2,1,3,1,2,0,0
Onbekend,Agisilaou Xristodoulos,5676814,23,Cyprus,Man,650,Zonder specialiteit,14,1,15,191,90,[],False,,18,2,3,5,2,3,3,0,0
5.000 meter,Agosto Jokin,5624088,27,España,Man,3180,Langeafstandslopers,18,1,15,191,91,"[('5.000 meter', '17:09.47', '628', 3), ('10.000 meter', '40:38.92', '557', 3), ('Marathon', '2h:46:02.91', '608', 3)]",False,,19,2,12,9,4,1,2,3,8
Onbekend,Aguado Asier,5675521,16,España,Man,200,Zonder specialiteit,20,1,15,178,76,[],False,,9,1,3,5,1,5,7,0,0
100 meter,Agüero Joan,4880205,37,España,Man,660,Sprinters,16,10,18,168,61,"[('100 meter', '14.04 s', '577', 3), ('200 meter', '28.62 s', '564', 3), ('400 meter', '1:02.97', '636', 3), ('110 meter horden', '21.67 s', '565', 3), ('400 meter horden', '1:13.76', '636', 3)]",False,,11,4,0,6,0,0,0,1,3
Onbekend,Aguiar Maria João,5674746,17,Portugal,Vrouw,210,Zonder specialiteit,16,1,15,177,71,[],False,,11,1,2,7,3,3,2,0,0
Tienkamp,Águila Ignacio,5247479,29,El Salvador,Man,7610,Meerkampers,19,8,17,185,80,"[('Vijfkamp Mannen - Verspringen', '5.09 m', '796', 2), ('Vijfkamp Mannen - Speerwerpen', '36.38 m', '584', 2), ('Vijfkamp Mannen - 200 meter', '24.93 s', '870', 2), ('Vijfkamp Mannen - Discuswerpen', '29.10 m', '490', 2), ('Vijfkamp Mannen - 1500 meter', '4:39.17', '689', 2), ('Tienkamp - 100 meter', '12.22 s', '891', 2), ('Tienkamp - Verspringen', '5.34 m', '835', 2), ('Tienkamp - Kogelstoten', '8.76 m', '496', 2), ('Tienkamp - Hoogspringen', '1.12 m', '666', 2), ('Tienkamp - 400 meter', '54.85 s', '932', 2), ('Tienkamp - 110 meter horden', '18.66 s', '868', 2), ('Tienkamp - Discuswerpen', '30.46 m', '513', 2), ('Tienkamp - Polsstokhoogspringen', '2.95 m', '622', 2), ('Tienkamp - Speerwerpen', '36.71 m', '590', 2), ('Tienkamp - 1500 meter', '4:33.43', '746', 2), ('Vijfkamp Mannen', '3429 p', '686', 2), ('Tienkamp', '7159 p', '716', 2)]",False,,18,8,3,15,3,8,1,7,7
Onbekend,Aguilar Alicia,5676940,16,Ecuador,Vrouw,680,Zonder specialiteit,18,1,15,156,53,[],False,,19,2,2,4,3,2,3,0,0
Onbekend,Aguilar Peña,5606426,16,España,Vrouw,640,Middenafstandslopers,19,1,11,163,62,"[('800 meter', '2:48.91', '492', 3), ('1.500 meter', '5:31.36', '538', 3), ('3.000 meter steeplechase', '17:47.54', '575', 3)]",False,,9,1,8,1,1,2,3,8,7
Onbekend,Aguirre María Teresa,5677610,18,Colombia,Vrouw,440,Zonder specialiteit,13,1,15,171,63,[],False,,11,3,0,1,2,9,1,0,0
Onbekend,Agwuocha Natashenka,5677341,21,Nigeria,Vrouw,190,Zonder specialiteit,18,1,15,171,70,[],False,,13,2,5,1,3,2,1,0,0
Onbekend,Ahmed Suma,5677593,24,Miṣr,Vrouw,1450,Zonder specialiteit,20,1,15,170,61,[],False,,11,2,2,6,10,9,2,0,0
Onbekend,Aiboy Bening,5676666,17,Indonesia,Vrouw,710,Zonder specialiteit,16,1,15,170,63,[],False,,19,6,3,3,0,3,3,0,0
