Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Resultaten test,Club,Transfer deadline,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2
Onbekend,Ab Razak Heryati,5726205,15,Malaysia,Vrouw,530,Zonder specialiteit,17,1,15,155,52,[],False,,14,1,9,1,1,1,4,0,0
Onbekend,Aba Ambrus,5698707,15,Magyarország,Man,1190,Werpers,15,1,15,164,67,"[('Kogelstoten', '5.76 m', '0', 7), ('Discuswerpen', '23.47 m', '0', 7), ('Kogelslingeren', '22.70 m', '0', 7), ('Speerwerpen', '24.85 m', '0', 7)]",False,,20,4,2,2,7,2,4,5,7
Onbekend,Aba Tivadar,5725755,14,Magyarország,Man,600,Zonder specialiteit,13,1,15,168,61,[],False,,17,3,8,2,2,3,0,0,0
200 meter,Abarca Idoia,5226211,30,España,Vrouw,10600,Sprinters,19,6,12,178,62,"[('100 meter', '13.60 s', '870', 8), ('200 meter', '26.39 s', '901', 8), ('400 meter', '1:01.81', '888', 8), ('100 meter horden', '20.00 s', '805', 8), ('400 meter horden', '1:13.03', '874', 8)]",False,,17,13,0,14,0,0,2,10,10
Onbekend,Abd Rahman Shila,5726334,18,Malaysia,Vrouw,310,Zonder specialiteit,15,1,15,182,73,[],False,,16,1,0,1,1,3,3,0,0
Onbekend,Abdullah Mokhtar,5724362,16,Malaysia,Man,100,Zonder specialiteit,17,1,15,174,74,[],False,,10,5,3,0,2,3,1,0,0
Onbekend,Abdulov German,5724697,18,Belarus,Man,1670,Zonder specialiteit,18,1,15,178,77,[],False,,20,2,1,1,1,10,3,0,0
Onbekend,Abdulov Sofon,5724488,20,Belarus,Man,730,Zonder specialiteit,14,1,15,170,67,[],False,,7,1,6,10,1,3,2,0,0
Onbekend,Abend Heinrich,5725097,17,Deutschland,Man,110,Zonder specialiteit,11,1,15,179,80,[],False,,8,2,3,3,1,6,3,0,0
Onbekend,Abercrombie Euan,5723739,16,Great Britain,Man,120,Zonder specialiteit,15,1,15,173,73,[],False,,6,6,1,2,4,3,3,0,0
Onbekend,Āboliņa Samanta,5725031,17,Latvija,Vrouw,1430,Zonder specialiteit,12,1,15,166,63,[],False,,6,10,2,9,2,2,2,0,0
Discuswerpen,Abramowicz Witold,5168992,30,Polska,Man,10500,Werpers,20,9,16,190,80,"[('Kogelstoten', '14.83 m', '547', 7), ('Discuswerpen', '49.17 m', '561', 7), ('Kogelslingeren', '47.91 m', '475', 7), ('Speerwerpen', '51.99 m', '569', 7)]",False,,19,15,2,2,0,2,13,8,9
Onbekend,Abrantes Plácido,5685944,17,Portugal,Man,820,Langeafstandslopers,20,1,14,179,79,"[('5.000 meter', '18:31.92', '417', 8), ('10.000 meter', '43:33.55', '362', 8), ('Marathon', '2h:57:15.04', '428', 8)]",False,,14,0,3,2,2,1,2,6,9
Onbekend,Abubakar Pieter,5723639,17,Indonesia,Man,940,Zonder specialiteit,12,1,15,180,78,[],False,,6,1,1,1,4,10,1,0,0
Onbekend,Aceval Santos,5725670,21,Chile,Man,770,Zonder specialiteit,20,1,15,175,69,[],False,,18,1,8,1,3,1,1,0,0
Onbekend,Acevedo Yusmelys,5725276,15,Venezuela,Vrouw,910,Zonder specialiteit,13,1,15,153,48,[],False,,20,3,3,6,2,2,2,0,0
Onbekend,Acosta Anica,5724454,18,Uruguay,Vrouw,120,Zonder specialiteit,13,1,15,180,76,[],False,,8,6,4,3,3,1,1,0,0
Onbekend,Acosta Seth,5724646,16,United States,Man,920,Springers,14,1,15,178,75,[],False,,15,3,3,3,9,3,1,6,7
Onbekend,Adam Victor,5719977,14,België,Man,790,Meerkampers,15,1,15,158,61,"[('Vijfkamp Mannen - Verspringen', '2.60 m', '406', 8), ('Vijfkamp Mannen - Speerwerpen', '23.61 m', '379', 8), ('Vijfkamp Mannen - 200 meter', '29.36 s', '402', 8), ('Vijfkamp Mannen - Discuswerpen', '20.41 m', '344', 8), ('Vijfkamp Mannen - 1500 meter', '5:06.63', '412', 8), ('Tienkamp - 100 meter', '14.80 s', '341', 8), ('Tienkamp - Verspringen', '2.57 m', '401', 8), ('Tienkamp - Kogelstoten', '4.53 m', '256', 8), ('Tienkamp - Hoogspringen', '0.66 m', '392', 8), ('Tienkamp - 400 meter', '1:05.03', '456', 8), ('Tienkamp - 110 meter horden', '21.65 s', '446', 8), ('Tienkamp - Discuswerpen', '20.15 m', '339', 8), ('Tienkamp - Polsstokhoogspringen', '2.02 m', '426', 8), ('Tienkamp - Speerwerpen', '23.22 m', '373', 8), ('Tienkamp - 1500 meter', '5:06.93', '409', 8), ('Vijfkamp Mannen', '1943 p', '389', 8), ('Tienkamp', '3839 p', '384', 8)]",False,,6,1,2,0,7,6,9,5,7
Onbekend,Adamczewska Irena,5725141,17,Polska,Vrouw,700,Zonder specialiteit,14,1,15,162,59,[],False,,11,1,2,2,7,9,1,0,0
Onbekend,Adamkienė Samanta,5724247,18,Lietuva,Vrouw,750,Zonder specialiteit,13,1,15,173,64,[],False,,7,4,0,2,10,3,6,0,0
Onbekend,Ādamsone Ingrīda,5725263,15,Latvija,Vrouw,680,Zonder specialiteit,17,1,15,166,61,[],False,,13,3,9,1,3,0,3,0,0
Onbekend,Ādamsons Voldemārs,5725037,17,Latvija,Man,1090,Zonder specialiteit,18,1,15,167,64,[],False,,15,3,1,5,3,10,2,0,0
Onbekend,Adeleke Aduke,5724207,15,Nigeria,Vrouw,340,Zonder specialiteit,14,1,15,166,58,[],False,,12,7,3,3,7,2,1,0,0
Onbekend,Adeola Annakiya,5723800,23,Nigeria,Vrouw,150,Zonder specialiteit,19,1,15,187,79,[],False,,13,0,2,2,5,3,1,0,0
Hoogspringen,Adriaanse Tau,5618169,19,South Africa,Man,1810,Springers,20,4,18,173,81,"[('Hoogspringen', '1.00 m', '212', 7), ('Polsstokhoogspringen', '2.76 m', '220', 7), ('Verspringen', '3.91 m', '268', 7), ('Hinkstapspringen', '7.61 m', '224', 7)]",False,,18,2,1,3,5,9,1,9,8
Onbekend,Adyaksa Fajar,5726313,23,Indonesia,Man,240,Zonder specialiteit,15,1,15,168,67,[],False,,6,6,3,3,1,7,3,0,0
Onbekend,Afonso Sebastião,5724799,16,Brasil,Man,360,Zonder specialiteit,13,1,15,162,64,[],False,,12,2,2,8,2,6,3,0,0
Onbekend,Agachi Putri,5725826,21,Indonesia,Vrouw,350,Zonder specialiteit,13,1,15,157,51,[],False,,9,2,5,1,6,8,2,0,0
Onbekend,Agarwal Anilkumar,5724526,15,India,Man,740,Zonder specialiteit,13,1,15,159,58,[],False,,12,2,3,10,1,2,5,0,0
Onbekend,Agius Carlo,5726218,20,Malta,Man,980,Zonder specialiteit,14,1,15,177,79,[],False,,17,9,2,5,2,2,1,0,0
Onbekend,Aguiar Lucinda,5723591,16,Portugal,Vrouw,500,Zonder specialiteit,15,1,15,167,58,[],False,,9,5,3,3,2,1,9,0,0
Onbekend,Aguinaga Joaquín,5723109,16,Ecuador,Man,780,Zonder specialiteit,18,1,14,182,82,[],False,,12,3,2,3,1,10,1,0,0
Onbekend,Aguirregaray Sancho,5725595,20,Uruguay,Man,60,Zonder specialiteit,15,1,15,192,93,[],False,,7,3,3,0,2,3,3,0,0
Onbekend,Agyepong Isabelle,5726066,17,Great Britain,Vrouw,1720,Zonder specialiteit,13,1,15,170,65,[],False,,20,10,1,2,3,2,1,0,0
Onbekend,Ahi Anette,5725932,19,Eesti,Vrouw,840,Zonder specialiteit,16,1,15,159,56,[],False,,12,3,2,3,6,3,10,0,0
Onbekend,Ahola Anu,5723387,17,Suomi,Vrouw,1410,Zonder specialiteit,18,1,14,177,68,[],False,,18,2,2,10,1,2,4,0,0
Onbekend,Aimar Marcia,5724385,15,Argentina,Vrouw,160,Zonder specialiteit,19,1,15,166,60,[],False,,11,3,1,6,5,4,3,0,0
Onbekend,Aixalà Edith,5726366,17,España,Vrouw,660,Zonder specialiteit,17,1,15,180,72,[],False,,14,2,9,3,0,2,3,0,0
Onbekend,Aixinjueluo Zhicheng,5726306,18,China,Vrouw,80,Zonder specialiteit,13,1,15,167,64,[],False,,8,2,5,0,3,2,2,0,0
Onbekend,Ajuru Abimbola,5725919,17,Nigeria,Vrouw,430,Zonder specialiteit,11,1,15,167,59,[],False,,17,3,1,1,2,1,2,0,0
Onbekend,Akano Shinichi,5724078,17,Nippon,Man,940,Zonder specialiteit,15,1,15,165,64,[],False,,11,1,2,2,2,3,10,0,0
Onbekend,Aktas Ekrem,5708794,18,Türkiye,Man,670,Langeafstandslopers,12,1,13,179,83,"[('5.000 meter', '17:53.02', '517', 8), ('10.000 meter', '41:45.01', '483', 8), ('Marathon', '2h:50:08.91', '542', 8)]",False,,9,2,9,3,3,2,2,6,7
Onbekend,Al Gamel Nuru,5724086,20,Miṣr,Man,420,Zonder specialiteit,12,1,15,194,91,[],False,,8,1,9,3,3,2,1,0,0
Onbekend,Alaa El Din Omari,5723968,20,Miṣr,Man,870,Zonder specialiteit,17,1,15,187,82,[],False,,8,2,2,3,1,10,1,0,0
Onbekend,Alacid Lucía,5618216,17,España,Vrouw,2570,Sprinters,20,1,14,172,81,"[('100 meter', '14.31 s', '744', 8), ('200 meter', '28.93 s', '674', 8), ('400 meter', '1:06.85', '693', 8), ('100 meter horden', '20.56 s', '736', 8), ('400 meter horden', '1:15.64', '789', 8)]",False,,12,3,1,12,6,3,2,5,6
