Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Resultaten test,Club,Transfer deadline,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2
Onbekend,Abarca Cristina,5705965,22,El Salvador,Vrouw,180,Zonder specialiteit,11,1,14,186,82,[],False,,14,1,3,3,1,2,5,0,0
Onbekend,Abdul Rahman Megat,5706364,21,Malaysia,Man,890,Zonder specialiteit,15,1,15,173,72,[],False,,17,2,4,3,3,9,1,0,0
Onbekend,Abdulov Straton,5705952,16,Rossiya,Man,280,Zonder specialiteit,10,1,15,188,87,[],False,,7,1,1,3,6,3,8,0,0
Onbekend,Abeijón Iraide,5705472,17,España,Vrouw,990,Zonder specialiteit,14,1,14,163,58,[],False,,19,3,3,1,1,5,8,0,0
Onbekend,Abella Itxaso,5707470,16,Colombia,Vrouw,280,Zonder specialiteit,17,1,15,160,57,[],False,,10,2,1,3,1,2,8,0,0
Onbekend,Abend Elan,5707352,22,Yisra'el,Man,750,Zonder specialiteit,15,1,15,181,78,[],False,,6,2,4,1,2,3,10,0,0
Discuswerpen,Āboliņš Igors,5050396,35,Latvija,Man,4710,Werpers,19,9,16,194,84,"[('Kogelstoten', '8.90 m', '97', 2), ('Discuswerpen', '30.98 m', '140', 2), ('Kogelslingeren', '29.37 m', '68', 2), ('Speerwerpen', '33.88 m', '169', 2)]",False,,20,6,0,0,0,0,6,10,12
Onbekend,Abram Polonca,5706532,21,Slovenija,Vrouw,560,Zonder specialiteit,19,1,15,184,75,[],False,,16,8,2,2,0,2,3,0,0
Polsstokhoogspringen,Abram Živa,4930845,37,Slovenija,Vrouw,10560,Springers,19,16,17,172,63,"[('Hoogspringen', '1.21 m', '468', 2), ('Polsstokhoogspringen', '3.02 m', '568', 2), ('Verspringen', '4.19 m', '538', 2), ('Hinkstapspringen', '8.47 m', '554', 2)]",False,,18,0,0,0,12,12,0,10,9
Onbekend,Acosta Ramona,5706334,23,Uruguay,Vrouw,700,Zonder specialiteit,14,1,15,169,66,[],False,,10,5,10,4,3,3,2,0,0
Onbekend,Adamková Zora,5707377,23,Slovensko,Vrouw,950,Zonder specialiteit,19,1,15,176,70,[],False,,16,3,8,2,9,4,3,0,0
Onbekend,Adán Agustí,5708059,17,España,Man,70,Zonder specialiteit,11,1,15,177,73,[],False,,6,3,3,0,3,3,5,0,0
Onbekend,Adeleke Chioma,5706558,22,Nigeria,Vrouw,600,Zonder specialiteit,11,1,15,178,71,[],False,,12,3,2,3,3,9,2,0,0
Onbekend,Adigun Olushola,5705985,22,Nigeria,Man,950,Zonder specialiteit,20,1,14,180,77,[],False,,19,3,2,4,8,3,2,0,0
