Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Resultaten test,Club,Transfer deadline,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2
Onbekend,Aarts Haico,5686092,16,Nederland,Man,90,Zonder specialiteit,20,1,15,162,60,[],False,,9,1,5,3,3,2,2,0,0
Onbekend,Abarca Florencia,5686797,18,Chile,Vrouw,1050,Zonder specialiteit,20,1,15,162,57,[],False,,17,3,3,10,2,2,3,0,0
Onbekend,Abaunza Guillem,5685706,16,España,Man,510,Zonder specialiteit,14,1,14,175,76,[],False,,17,2,7,0,3,2,1,0,0
1.500 meter,Abellán Marimar,5165285,29,España,Vrouw,31410,Middenafstandslopers,20,8,15,189,96,"[('800 meter', '2:26.81', '855', 6), ('1.500 meter', '4:44.16', '927', 6), ('3.000 meter steeplechase', '15:13.91', '963', 6)]",False,,19,1,20,12,5,1,3,10,9
Onbekend,Āboliņa Laura,5685235,15,Latvija,Vrouw,320,Zonder specialiteit,20,1,15,147,42,[],False,,14,2,7,2,0,2,3,0,0
Onbekend,Abramov Innokentiy,5687525,15,Rossiya,Man,1770,Zonder specialiteit,17,1,15,175,72,[],False,,20,2,1,10,1,2,4,0,0
Onbekend,Abreu Isaías,5675753,15,España,Man,490,Middenafstandslopers,14,1,15,183,82,"[('800 meter', '2:26.45', '647', 6), ('1.500 meter', '4:51.57', '635', 6), ('3.000 meter steeplechase', '14:28.40', '645', 6)]",False,,7,2,5,7,1,3,2,7,7
Onbekend,Acevedo Irati,5686292,16,España,Vrouw,280,Zonder specialiteit,13,1,15,169,62,[],False,,10,3,2,1,8,2,3,0,0
Onbekend,Acosta Jorge,5686621,23,Colombia,Man,360,Zonder specialiteit,14,1,15,187,84,[],False,,9,1,2,2,6,3,8,0,0
Onbekend,Adame Dolors,5686467,17,España,Vrouw,990,Zonder specialiteit,18,1,14,163,56,[],False,,16,2,8,2,2,1,9,0,0
Discuswerpen,Adamek Grzegorz,5538357,21,Polska,Man,970,Werpers,20,3,17,180,81,"[('Kogelstoten', '5.60 m', '0', 6), ('Discuswerpen', '22.92 m', '0', 6), ('Kogelslingeren', '22.71 m', '0', 6), ('Speerwerpen', '25.94 m', '0', 6)]",False,,19,3,1,3,6,6,3,6,4
