Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Week,Resultaten test,Club,Transfer deadline,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2
Onbekend,Aarab Yalda,5801306,20,Al-Maghrib,Vrouw,210,Zonder specialiteit,15,1,14,164,62,10,[],False,,9,0,1,0,7,1,2,0,0
Onbekend,Aas Tomas,5804254,20,Norge,Man,190,Zonder specialiteit,14,1,15,196,94,10,[],False,,12,4,6,3,1,5,1,0,0
Onbekend,Aasen Kristina,5803079,21,Norge,Vrouw,620,Zonder specialiteit,20,1,14,171,71,10,[],False,,7,1,9,2,3,8,2,0,0
400 meter horden,Ababou Girlie,5335904,27,Pilipinas,Vrouw,5620,Sprinters,20,10,11,182,76,10,"[('100 Metri', '13.88 s', '820'), ('200 Metri', '27.6 s', '793'), ('400 piani', '1:03.12', '837'), ('110 ostacoli', '20.06 s', '797'), ('400 ostacoli', '1:11.90', '908')]",False,,14,13,1,11,4,2,2,8,8
10.000 meter,Ababou Marife,5335907,27,Pilipinas,Vrouw,20360,Langeafstandslopers,20,8,13,185,77,10,"[('5000 Metri', '18:54.23', '792'), ('10000 Metri', '40:00.64', '859'), ('Maratona', '2h:49:44.73', '871')]",False,,11,3,18,2,3,1,2,11,11
Onbekend,Abadexo Aritz,5754111,25,España,Man,1880,Werpers,16,1,11,169,76,10,"[('Getto del peso', '8.94 m', '101'), ('Lancio del disco', '31.4 m', '150'), ('Lancio del martello', '29.79 m', '77'), ('Giavellotto', '31.58 m', '119')]",False,,13,10,0,1,2,1,9,9,5
Onbekend,Abadía Igor,5704639,17,España,Man,780,Middenafstandslopers,18,1,15,178,88,10,"[('800 Metri', '2:22.91', '711'), ('1500 Metri', '4:46.37', '682'), ('3000 siepi', '14:12.89', '692')]",False,,12,2,7,8,3,2,2,8,6
Vijfkamp Mannen,Abaloira Justo,5230563,31,España,Man,1240,Meerkampers,20,8,18,192,95,10,"[('Pentathlon Men - Long Jump', '2.52 m', '395'), ('Pentathlon Men - Javelin Throw', '33.16 m', '533'), ('Pentathlon Men - 200 Metres', '27.41 s', '608'), ('Pentathlon Men - Discus Throw', '27.02 m', '455'), ('Pentathlon Men - 1500 Metres', '4:54.42', '535'), ('Decathlon - 100 Metres', '14 s', '513'), ('Decathlon - Long Jump', '2.45 m', '383'), ('Decathlon - Shot Put', '7.35 m', '415'), ('Decathlon - High Jump', '0.58 m', '345'), ('Decathlon - 400 Metres', '1:02.37', '580'), ('Decathlon - 110 Metres Hurdles', '21.08 s', '527'), ('Decathlon - Discus Throw', '26.3 m', '443'), ('Decathlon - Pole Vault', '1.49 m', '313'), ('Decathlon - Javelin Throw', '32.3 m', '519'), ('Decathlon - 1500 Metres', '4:58.91', '490'), ('Pentathlon Men', '2525 p', '505'), ('Decathlon', '4528 p', '453')]",False,,17,2,2,5,2,0,8,8,6
Onbekend,Abantos Eduard,5801354,17,España,Man,730,Zonder specialiteit,18,1,14,186,83,10,[],False,,18,3,1,7,3,2,3,0,0
Onbekend,Abbas Nizsm,5801742,23,Miṣr,Man,900,Zonder specialiteit,17,1,15,192,91,10,[],False,,18,5,1,2,9,4,5,0,0
Onbekend,Abbott Angel,5800928,15,United States,Man,190,Zonder specialiteit,18,1,14,169,66,10,[],False,,9,7,2,1,1,1,3,0,0
Onbekend,Abbott Brayden,5803469,24,Australia,Man,170,Zonder specialiteit,11,1,15,176,81,10,[],False,,12,3,6,2,0,1,5,0,0
Onbekend,Abd Rahman Dayang,5801735,24,Malaysia,Vrouw,270,Zonder specialiteit,15,1,15,171,64,10,[],False,,10,8,2,2,5,3,2,0,0
Onbekend,Abdurasihid Halida,5759839,16,Bosna i Hercegovina,Vrouw,740,Snelwandelaars,14,1,16,172,69,10,"[('Marcia 10Km', '1h:06:56.40', '666'), ('Marcia 20Km', '2h:15:56.85', '619'), ('Marcia 50Km', '5h:32:22.45', '599')]",False,,9,0,9,1,8,6,0,4,6
Kogelstoten,Abeijón Llora,5656006,18,España,Vrouw,280,Werpers,20,2,15,182,81,10,"[('Getto del peso', '5.17 m', '0'), ('Lancio del disco', '19.67 m', '0'), ('Lancio del martello', '17.54 m', '0'), ('Giavellotto', '17.92 m', '0')]",False,,13,2,2,0,2,3,5,6,6
Onbekend,Abela Ismael,5799453,16,Malta,Man,330,Zonder specialiteit,13,1,14,167,66,10,[],False,,10,2,1,5,8,2,2,0,0
Onbekend,Ābele Viesturs,5802025,24,Latvija,Man,900,Zonder specialiteit,12,1,14,177,84,10,[],False,,20,3,4,3,6,2,3,0,0
Onbekend,Abend Ohad,5803779,16,Yisra'el,Man,80,Zonder specialiteit,18,1,15,163,63,10,[],False,,10,1,2,3,3,4,2,0,0
Onbekend,Abeylegesse Özer,5801822,21,Türkiye,Man,890,Zonder specialiteit,14,1,14,194,89,10,[],False,,18,1,4,1,8,6,1,0,0
Onbekend,Abeyta Iraide,5754078,16,España,Vrouw,1120,Sprinters,20,1,11,156,59,10,"[('100 Metri', '14.82 s', '654'), ('200 Metri', '29.53 s', '620'), ('400 piani', '1:07.86', '655'), ('110 ostacoli', '21.28 s', '648'), ('400 ostacoli', '1:17.78', '715')]",False,,11,5,3,10,3,1,0,8,6
Onbekend,Abidin Surya,5775990,17,Indonesia,Man,850,Middenafstandslopers,20,1,16,181,78,10,"[('800 Metri', '2:27.57', '627'), ('1500 Metri', '4:52.70', '625'), ('3000 siepi', '14:27.01', '649')]",False,,15,2,8,2,3,0,2,5,8
Onbekend,Aboutrika Tahirah,5800904,24,Miṣr,Vrouw,60,Zonder specialiteit,11,1,14,163,57,10,[],False,,8,1,2,5,3,2,2,0,0
Hinkstapspringen,Abreu Máximo,5064705,35,España,Man,16750,Springers,17,13,17,178,66,10,"[('Salto in alto', '1.61 m', '687'), (""Salto con l'asta"", '4.59 m', '749'), ('Salto in lungo', '5.96 m', '687'), ('Salto triplo', '12.55 m', '744')]",False,,18,0,0,0,14,15,0,10,11
Onbekend,Abrioux Marie-Cécile,5668126,17,France,Vrouw,200,Werpers,20,3,18,182,89,10,"[('Getto del peso', '4.72 m', '0'), ('Lancio del disco', '19.42 m', '0'), ('Lancio del martello', '17.61 m', '0'), ('Giavellotto', '18.27 m', '0')]",False,,8,1,2,2,3,3,5,6,5
Onbekend,Acconcia Ilaria,5676999,17,Italia,Vrouw,1220,Werpers,20,3,19,179,85,10,"[('Getto del peso', '8.86 m', '131'), ('Lancio del disco', '34.5 m', '234'), ('Lancio del martello', '30.64 m', '204'), ('Giavellotto', '29.41 m', '274')]",False,,15,6,2,2,5,2,10,6,6
Onbekend,Acedo Mariona,5774482,17,España,Vrouw,480,Springers,15,1,16,172,72,10,"[('Salto in alto', '0.66 m', '8'), (""Salto con l'asta"", '1.68 m', '62'), ('Salto in lungo', '2.32 m', '41'), ('Salto triplo', '4.84 m', '70')]",False,,13,6,1,1,7,5,2,4,7
Onbekend,Aceski Boris,5802848,17,FYR Makedonija,Man,250,Zonder specialiteit,20,1,15,183,78,10,[],False,,15,1,5,3,3,2,1,0,0
Onbekend,Acevedo Ashley,5753730,26,United States,Vrouw,980,Springers,17,1,11,174,68,10,"[('Salto in alto', '0.54 m', '0'), (""Salto con l'asta"", '1.4 m', '0'), ('Salto in lungo', '2.26 m', '24'), ('Salto triplo', '3.84 m', '0')]",False,,14,1,1,6,3,7,1,9,2
Onbekend,Acevedo Francesc,5766164,17,España,Man,750,Middenafstandslopers,17,1,15,170,71,10,"[('800 Metri', '2:28.52', '610'), ('1500 Metri', '4:52.89', '623'), ('3000 siepi', '14:42.61', '602')]",False,,16,2,4,5,4,2,3,8,3
Onbekend,Acevedo Isabel,5804191,19,El Salvador,Vrouw,440,Zonder specialiteit,17,1,15,157,53,10,[],False,,13,6,3,2,1,7,7,0,0
Onbekend,Acevska Emilija,5804099,19,FYR Makedonija,Vrouw,280,Zonder specialiteit,13,1,15,162,57,10,[],False,,15,6,2,3,5,2,3,0,0
Onbekend,Acosta Alexandra,5745305,17,Ecuador,Vrouw,1490,Snelwandelaars,16,1,15,161,64,10,"[('Marcia 10Km', '1h:05:55.69', '705'), ('Marcia 20Km', '2h:13:15.98', '671'), ('Marcia 50Km', '5h:28:39.84', '629')]",False,,6,2,11,2,4,1,2,8,6
Onbekend,Acosta Mario,5803397,23,Chile,Man,1420,Zonder specialiteit,11,1,15,180,78,10,[],False,,6,1,10,10,1,2,2,0,0
Polsstokhoogspringen,Acosta Mauricio,5130473,34,Costa Rica,Man,18800,Springers,20,16,17,175,66,10,"[('Salto in alto', '1.59 m', '676'), (""Salto con l'asta"", '4.6 m', '751'), ('Salto in lungo', '5.95 m', '684'), ('Salto triplo', '12.25 m', '713')]",False,,17,0,0,0,13,15,0,11,11
Polsstokhoogspringen,Acosta Sabrina,5238170,31,United States,Vrouw,10310,Springers,20,10,16,183,66,10,"[('Salto in alto', '1.34 m', '584'), (""Salto con l'asta"", '3.28 m', '665'), ('Salto in lungo', '4.41 m', '595'), ('Salto triplo', '9.02 m', '628')]",False,,16,2,1,2,13,14,3,10,11
Onbekend,Acuña Guadalupe,5802666,22,Costa Rica,Vrouw,1160,Zonder specialiteit,12,1,14,174,72,10,[],False,,20,5,7,1,2,2,5,0,0
Onbekend,Acuto Nicola,5801026,22,Italia,Man,1570,Springers,13,1,14,191,83,10,"[('Salto in alto', '0.97 m', '188'), (""Salto con l'asta"", '2.38 m', '110'), ('Salto in lungo', '3.48 m', '161'), ('Salto triplo', '6.52 m', '109')]",False,,18,3,2,4,6,10,2,6,3
Onbekend,Adach Arkadiusz,5679026,17,Polska,Man,600,Langeafstandslopers,20,2,16,172,80,10,"[('5000 Metri', '17:45.16', '537'), ('10000 Metri', '41:14.36', '517'), ('Maratona', '2h:47:20.18', '587')]",False,,6,1,9,3,3,2,1,6,7
Onbekend,Adam Camille,5803573,23,Lëtzebuerg,Vrouw,120,Zonder specialiteit,17,1,15,183,78,10,[],False,,10,0,1,5,0,6,2,0,0
Kogelstoten,Adamiak Ireneusz,4888600,39,Polska,Man,11470,Werpers,11,17,16,182,122,10,"[('Getto del peso', '12.28 m', '354'), ('Lancio del disco', '38.33 m', '311'), ('Lancio del martello', '39.39 m', '288'), ('Giavellotto', '41.13 m', '329')]",False,,8,9,0,0,0,0,7,10,10
400 meter horden,Adamski Rafał,5278443,30,Polska,Man,11900,Sprinters,17,9,18,173,74,10,"[('100 Metri', '12.38 s', '895'), ('200 Metri', '24.76 s', '929'), ('400 piani', '54.91 s', '973'), ('110 ostacoli', '18.38 s', '975'), ('400 ostacoli', '1:01.96', '1057')]",False,,7,2,6,15,13,2,3,11,8
Onbekend,Adang Aimi,5802818,24,Indonesia,Vrouw,1180,Zonder specialiteit,16,1,14,167,63,10,[],False,,19,9,1,0,2,2,3,0,0
Onbekend,Addcock Chelsea,5766385,24,New Zealand,Vrouw,1910,Meerkampers,19,1,11,173,72,10,"[('Pentathlon Women - 100 Metres Hurdles', '21.77 s', '540'), ('Pentathlon Women - High Jump', '0.36 m', '238'), ('Pentathlon Women - Shot Put', '8.58 m', '504'), ('Pentathlon Women - Long Jump', '1.6 m', '307'), ('Pentathlon Women - 800 Metres', '2:49.35', '493'), ('Heptathlon - 100 Metres Hurdles', '21.79 s', '537'), ('Heptathlon - High Jump', '0.36 m', '238'), ('Heptathlon - Shot Put', '8.76 m', '515'), ('Heptathlon - 200 Metres', '30.35 s', '421'), ('Heptathlon - Long Jump', '1.59 m', '305'), ('Heptathlon - Javelin Throw', '25.02 m', '527'), ('Heptathlon - 800 Metres', '2:49.63', '488'), ('Pentathlon Women', '2082 p', '416'), ('Heptathlon', '3031 p', '433')]",False,,13,10,1,2,3,1,9,10,2
Onbekend,Adel Ata,5802668,15,Miṣr,Man,330,Zonder specialiteit,11,1,14,182,82,10,[],False,,12,2,5,2,8,2,2,0,0
Onbekend,Adeola Abagbe,5803437,17,Nigeria,Vrouw,1160,Zonder specialiteit,13,1,14,154,48,10,[],False,,10,10,1,0,1,5,7,0,0
Onbekend,Adeshina Dayo,5801098,22,Nigeria,Vrouw,540,Zonder specialiteit,17,1,15,175,75,10,[],False,,12,1,9,2,2,1,5,0,0
Onbekend,Adigue Iska,5802837,17,Pilipinas,Vrouw,1030,Zonder specialiteit,20,1,15,165,62,10,[],False,,20,3,1,4,3,4,6,0,0
Onbekend,Adúriz Antón,5697859,18,España,Man,760,Werpers,20,1,11,180,80,10,"[('Getto del peso', '4.87 m', '0'), ('Lancio del disco', '18.22 m', '0'), ('Lancio del martello', '17.6 m', '0'), ('Giavellotto', '19.82 m', '0')]",False,,17,6,1,1,3,3,1,6,8
100 meter,Adúriz Mohamed,5648787,18,España,Man,450,Sprinters,20,2,15,179,92,10,"[('100 Metri', '13.69 s', '644'), ('200 Metri', '28.02 s', '621'), ('400 piani', '1:01.93', '680'), ('110 ostacoli', '20.98 s', '651'), ('400 ostacoli', '1:12.24', '690')]",False,,12,2,1,8,1,1,2,6,6
Onbekend,Aebi Diana,5801696,20,Switzerland,Vrouw,360,Zonder specialiteit,20,1,15,179,69,10,[],False,,8,1,3,1,7,8,1,0,0
Onbekend,Afolabi Ngozi,5801746,21,Nigeria,Vrouw,810,Zonder specialiteit,18,1,15,165,60,10,[],False,,15,3,3,10,3,0,2,0,0
Onbekend,Afonso Antónia,5803116,17,Portugal,Vrouw,310,Zonder specialiteit,15,1,14,158,54,10,[],False,,14,2,7,2,2,4,1,0,0
Marathon,Agbo Areta,5268209,32,Nigeria,Vrouw,15420,Langeafstandslopers,18,13,16,169,57,10,"[('5000 Metri', '18:05.29', '899'), ('10000 Metri', '39:04.52', '915'), ('Maratona', '2h:41:15.01', '991')]",False,,13,0,15,13,0,0,0,12,13
Onbekend,Agius Margaret,5801100,22,Malta,Vrouw,120,Zonder specialiteit,19,1,15,182,74,10,[],False,,7,2,6,2,1,2,3,0,0
Onbekend,Agius Silvana,5803979,24,Malta,Vrouw,520,Zonder specialiteit,18,1,15,176,64,10,[],False,,14,2,1,0,3,3,8,0,0
Onbekend,Agnello Yvete,5803601,15,Brasil,Vrouw,500,Zonder specialiteit,20,1,15,162,58,10,[],False,,12,1,2,2,2,9,0,0,0
Onbekend,Aguado Egoitz,5754072,16,España,Man,440,Sprinters,20,1,16,184,84,10,"[('100 Metri', '13.87 s', '610'), ('200 Metri', '27.65 s', '656'), ('400 piani', '1:01.31', '705'), ('110 ostacoli', '20.84 s', '668'), ('400 ostacoli', '1:11.33', '722')]",False,,8,4,2,8,3,1,1,7,4
Onbekend,Aguilar Hayden,5804040,15,United States,Man,380,Zonder specialiteit,15,1,15,168,71,10,[],False,,8,8,5,3,7,3,3,0,0
Discuswerpen,Aguilar Honesto,5230890,30,Pilipinas,Man,18990,Werpers,19,15,12,186,92,10,"[('Getto del peso', '15.67 m', '611'), ('Lancio del disco', '52.46 m', '637'), ('Lancio del martello', '48.96 m', '498'), ('Giavellotto', '53.03 m', '591')]",False,,11,17,0,2,2,0,8,11,12
Onbekend,Aguilera Edmundo,5803936,23,Uruguay,Man,680,Zonder specialiteit,19,1,15,176,71,10,[],False,,15,1,2,1,9,2,5,0,0
Onbekend,Agyepong Naomi,5741591,18,Great Britain,Vrouw,800,Meerkampers,14,1,11,176,76,10,"[('Pentathlon Women - 100 Metres Hurdles', '22.02 s', '505'), ('Pentathlon Women - High Jump', '0.47 m', '308'), ('Pentathlon Women - Shot Put', '5.25 m', '308'), ('Pentathlon Women - Long Jump', '1.8 m', '346'), ('Pentathlon Women - 800 Metres', '2:50.30', '477'), ('Heptathlon - 100 Metres Hurdles', '22.06 s', '500'), ('Heptathlon - High Jump', '0.47 m', '310'), ('Heptathlon - Shot Put', '5.25 m', '308'), ('Heptathlon - 200 Metres', '30.79 s', '377'), ('Heptathlon - Long Jump', '1.82 m', '350'), ('Heptathlon - Javelin Throw', '15.28 m', '322'), ('Heptathlon - 800 Metres', '2:50.52', '472'), ('Pentathlon Women', '1944 p', '389'), ('Heptathlon', '2639 p', '377')]",False,,18,7,3,2,1,6,3,6,4
