Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Resultaten test,Club,Transfer deadline,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2
Onbekend,Aba Szilveszter,5690225,17,Magyarország,Man,1170,Zonder specialiteit,14,1,15,171,69,[],False,,19,1,2,2,2,1,9,0,0
Onbekend,Abad Rosalía,5689491,16,España,Vrouw,160,Zonder specialiteit,15,1,15,153,55,[],False,,8,3,6,2,2,6,3,0,0
Onbekend,Abancéns Jeremías,5686451,17,España,Man,1360,Springers,16,1,15,180,79,"[('Hoogspringen', '0.73 m', '0', 7), ('Polsstokhoogspringen', '2.25 m', '72', 7), ('Verspringen', '2.92 m', '54', 7), ('Hinkstapspringen', '6.05 m', '60', 7)]",False,,18,2,3,1,8,3,9,6,7
Onbekend,Abanilla Reynante,5689651,20,Pilipinas,Man,810,Zonder specialiteit,14,1,15,172,72,[],False,,9,3,10,2,3,1,3,0,0
Onbekend,Abarca Sixto,5690939,16,España,Man,600,Werpers,13,1,15,177,70,[],False,,12,3,2,5,1,3,7,6,8
Onbekend,Abbas Isis,5690571,18,Miṣr,Vrouw,300,Zonder specialiteit,20,1,15,163,54,[],False,,12,1,1,3,2,5,7,0,0
Onbekend,Abdelaziz Nefertiti,5689602,18,Miṣr,Vrouw,650,Zonder specialiteit,18,1,15,171,63,[],False,,6,3,6,3,10,3,1,0,0
Onbekend,Abellán Caterina,5651137,15,España,Vrouw,590,Zonder specialiteit,20,2,15,173,70,[],False,,6,1,1,2,2,9,3,0,0
Onbekend,Abente Eloisa,5689167,17,España,Vrouw,120,Zonder specialiteit,13,1,15,177,71,[],False,,7,3,3,3,6,2,0,0,0
Onbekend,Ablanedo Gorka,5666091,18,España,Man,1230,Springers,20,1,16,184,83,"[('Hoogspringen', '0.90 m', '133', 7), ('Polsstokhoogspringen', '2.34 m', '98', 7), ('Verspringen', '3.68 m', '218', 7), ('Hinkstapspringen', '6.69 m', '127', 7)]",False,,12,3,1,6,2,7,3,8,9
Onbekend,Āboltiņa Alīna,5690587,21,Latvija,Vrouw,740,Zonder specialiteit,12,1,15,178,69,[],False,,7,3,2,10,2,2,3,0,0
Onbekend,Aboub Ilias,5690219,16,Al-Maghrib,Man,330,Zonder specialiteit,12,1,15,175,75,[],False,,15,0,1,2,1,6,2,0,0
Onbekend,Abramović Marin,5690645,17,Hrvatska,Man,140,Zonder specialiteit,14,1,15,184,84,[],False,,6,3,2,1,1,6,6,0,0
Onbekend,Abuda Igme,5690080,21,Pilipinas,Man,370,Zonder specialiteit,14,1,15,174,73,[],False,,14,1,2,7,7,4,4,0,0
Onbekend,Abuda Rutchell,5691627,19,Pilipinas,Vrouw,1020,Zonder specialiteit,14,1,15,159,50,[],False,,17,3,3,2,10,3,3,0,0
Onbekend,Aceituno Joana,5684844,16,España,Vrouw,580,Zonder specialiteit,20,1,15,170,65,[],False,,13,3,1,1,8,2,8,0,0
Onbekend,Aceituno Silvia,5690601,22,Perú,Vrouw,870,Zonder specialiteit,11,1,15,164,59,[],False,,19,3,1,8,1,1,2,0,0
Onbekend,Aceska Anna,5689218,20,FYR Makedonija,Vrouw,1040,Zonder specialiteit,13,1,15,181,77,[],False,,8,8,3,3,10,3,2,0,0
10.000 meter,Acevedo Gustavo,5155842,31,Venezuela,Man,7650,Langeafstandslopers,20,12,14,183,74,"[('5.000 meter', '16:27.58', '736', 7), ('10.000 meter', '37:42.44', '753', 7), ('Marathon', '2h:34:48.04', '788', 7)]",False,,10,2,12,5,0,1,0,11,12
Onbekend,Acevedo Leónidas,5690010,19,Perú,Man,1370,Zonder specialiteit,20,1,15,184,84,[],False,,18,10,2,3,1,3,1,0,0
Onbekend,Acevedo Simoncito,5689190,20,Venezuela,Man,830,Zonder specialiteit,11,1,15,186,89,[],False,,18,5,1,2,5,8,5,0,0
Onbekend,Acharjee Assam Hemamalini,5689641,22,India,Vrouw,810,Zonder specialiteit,16,1,15,184,77,[],False,,16,5,3,1,2,3,9,0,0
Onbekend,Acosta Carlotta,5690410,21,Uruguay,Vrouw,400,Zonder specialiteit,19,1,15,169,67,[],False,,10,1,1,9,0,2,3,0,0
Onbekend,Acosta Jeremías,5636467,17,España,Man,1120,Langeafstandslopers,20,1,18,174,81,"[('5.000 meter', '17:42.14', '544', 7), ('10.000 meter', '41:33.28', '496', 7), ('Marathon', '2h:49:04.25', '559', 7)]",False,,10,3,5,10,2,3,1,5,4
Onbekend,Acosta Juana,5689435,19,Uruguay,Vrouw,860,Zonder specialiteit,19,1,15,172,64,[],False,,13,3,9,1,1,2,8,0,0
Onbekend,Adami David,5688993,17,Malta,Man,810,Zonder specialiteit,15,1,14,165,67,[],False,,11,5,9,2,8,1,2,0,0
Onbekend,Adami Yusepha,5690577,23,Malta,Vrouw,1220,Zonder specialiteit,11,1,15,171,67,[],False,,20,7,2,3,7,1,7,0,0
100 meter,Adamovich Hryhoriy,4969173,34,Ukrajina,Man,9360,Sprinters,20,12,16,171,59,"[('100 meter', '12.44 s', '884', 8), ('200 meter', '24.82 s', '923', 8), ('400 meter', '56.21 s', '919', 8), ('110 meter horden', '19.44 s', '843', 8), ('400 meter horden', '1:06.73', '887', 8)]",False,,12,12,0,14,0,0,0,10,9
Onbekend,Adamsen David,5650821,17,Danmark,Man,330,Springers,20,2,16,166,68,"[('Hoogspringen', '0.52 m', '0', 7), ('Polsstokhoogspringen', '1.65 m', '0', 7), ('Verspringen', '2.39 m', '0', 7), ('Hinkstapspringen', '4.52 m', '0', 7)]",False,,8,6,2,3,2,3,6,7,4
Onbekend,Adriaans Janke,5691219,16,Nederland,Vrouw,670,Langeafstandslopers,13,1,15,159,56,[],False,,11,1,2,2,5,9,3,7,6
5.000 meter,Afinogenova Yana,4954361,35,Rossiya,Vrouw,8940,Langeafstandslopers,19,15,15,169,73,"[('5.000 meter', '18:38.24', '827', 7), ('10.000 meter', '40:30.97', '828', 7), ('Marathon', '2h:52:10.55', '837', 7)]",False,,17,0,13,9,0,0,0,10,9
20 km snelwandelen,Afonso Brenda,5118635,30,France,Vrouw,53360,Snelwandelaars,20,11,15,170,49,"[('10 km snelwandelen', '57:52.72', '1019', 7), ('20 km snelwandelen', '1h:52:19.71', '1079', 7), ('50 km snelwandelen', '4h:34:58.57', '1060', 7)]",False,,15,0,20,3,3,0,2,10,19
Onbekend,Afonso Estela,5637097,16,Portugal,Vrouw,430,Middenafstandslopers,16,1,15,158,58,[],False,,14,2,0,7,4,2,2,6,4
Onbekend,Agboola Kehinde,5690575,18,Nigeria,Man,520,Zonder specialiteit,13,1,15,173,76,[],False,,17,2,7,3,3,2,0,0,0
Onbekend,Agnoletto Beatrice,5595100,19,Italia,Vrouw,540,Werpers,20,1,13,182,79,"[('Kogelstoten', '4.60 m', '0', 7), ('Discuswerpen', '18.75 m', '0', 7), ('Kogelslingeren', '17.11 m', '0', 7), ('Speerwerpen', '18.72 m', '0', 7)]",False,,14,0,2,3,3,4,9,4,6
Onbekend,Agostini Marlène,5690779,17,France,Vrouw,440,Zonder specialiteit,14,1,15,166,60,[],False,,10,1,3,3,1,9,2,0,0
Onbekend,Agüero Eder,5691044,16,España,Man,340,Zonder specialiteit,12,1,15,164,66,[],False,,15,1,0,7,2,1,3,0,0
Onbekend,Aguilar Celina,5690916,16,España,Vrouw,780,Zonder specialiteit,20,1,15,170,63,[],False,,19,1,2,2,3,3,0,0,0
Hoogspringen,Aguirre Cathaysa,5551077,18,España,Vrouw,1430,Springers,20,3,17,176,78,"[('Hoogspringen', '0.99 m', '277', 7), ('Polsstokhoogspringen', '2.29 m', '291', 7), ('Verspringen', '3.22 m', '279', 7), ('Hinkstapspringen', '6.52 m', '294', 7)]",False,,8,5,2,2,9,8,1,8,8
Onbekend,Agúndez Elpidio,5689630,18,México,Man,1060,Zonder specialiteit,12,1,15,171,65,[],False,,20,4,6,2,7,2,1,0,0
