Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Week,Resultaten test,Club,Transfer deadline,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2
Onbekend,Abarca Silvia,5797844,18,El Salvador,Vrouw,840,Zonder specialiteit,17,1,15,179,75,9,[],False,,14,10,5,3,2,0,3,0,0
Onbekend,Abarca Tomas,5800467,23,Chile,Man,1400,Zonder specialiteit,14,1,15,186,83,9,[],False,,19,10,3,3,1,3,2,0,0
50 km snelwandelen,Abbot Harry,5379625,26,Great Britain,Man,20540,Snelwandelaars,20,7,18,193,99,9,"[('Marcia 10Km', '56:32.52', '860'), ('Marcia 20Km', '1h:48:28.09', '902'), ('Marcia 50Km', '4h:29:46.41', '913')]",False,,17,2,19,5,7,2,2,10,10
Onbekend,Abela Zachary,5799985,23,Malta,Man,550,Zonder specialiteit,17,1,14,186,83,9,[],False,,18,2,3,3,3,4,2,0,0
Kogelslingeren,Abelairas Hernán,5205906,32,Argentina,Man,4580,Werpers,19,8,14,169,60,9,"[('Getto del peso', '7.52 m', '24'), ('Lancio del disco', '28.74 m', '88'), ('Lancio del martello', '28.65 m', '52'), ('Giavellotto', '33.28 m', '156')]",False,,16,2,1,3,0,6,11,11,10
Onbekend,Aben Elena,5798674,17,Nederland,Vrouw,580,Zonder specialiteit,12,1,15,177,70,9,[],False,,8,9,1,0,0,3,3,0,0
Onbekend,Abiodun Akanke,5798059,18,Nigeria,Vrouw,1040,Zonder specialiteit,20,1,14,175,69,9,[],False,,20,4,6,7,2,3,2,0,0
Onbekend,Āboltiņš Dāvids,5800045,17,Latvija,Man,970,Zonder specialiteit,20,1,15,161,65,9,[],False,,20,1,4,2,1,2,3,0,0
100 meter,Abrahams Patrice,5115009,34,Jamaica,Vrouw,16550,Sprinters,14,17,11,180,78,9,"[('100 Metri', '13.18 s', '943'), ('200 Metri', '26.5 s', '892'), ('400 piani', '1:01.44', '902'), ('110 ostacoli', '19.59 s', '855'), ('400 ostacoli', '1:12.29', '895')]",False,,12,8,0,16,0,0,0,10,8
Onbekend,Abrahamsen Tor,5799196,23,Norge,Man,250,Zonder specialiteit,13,1,14,187,84,9,[],False,,11,7,0,3,2,6,2,0,0
