Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Resultaten test,Club,Transfer deadline,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2
Onbekend,Aba Szilveszter,5690225,17,Magyarország,Man,1170,Zonder specialiteit,14,1,15,171,69,[],False,,19,1,2,2,2,1,9,0,0
Onbekend,Abad Rosalía,5689491,16,España,Vrouw,160,Zonder specialiteit,15,1,15,153,55,[],False,,8,3,6,2,2,6,3,0,0
Onbekend,Abancéns Jeremías,5686451,17,España,Man,1360,Springers,16,1,15,180,79,"[('Hoogspringen', '0.73 m', '0', 7), ('Polsstokhoogspringen', '2.25 m', '72', 7), ('Verspringen', '2.92 m', '54', 7), ('Hinkstapspringen', '6.05 m', '60', 7)]",False,,18,2,3,1,8,3,9,6,7
Onbekend,Abanilla Reynante,5689651,20,Pilipinas,Man,810,Zonder specialiteit,14,1,15,172,72,[],False,,9,3,10,2,3,1,3,0,0
Onbekend,Abargil Tahlia,5688498,20,Yisra'el,Vrouw,100,Zonder specialiteit,13,1,15,166,58,[],False,,6,0,3,6,1,2,1,0,0
Onbekend,Abascal Esther,5688381,15,España,Vrouw,520,Meerkampers,14,1,14,167,61,[],False,,10,8,2,6,2,3,2,6,4
Onbekend,Abaye Omosupe,5690451,15,Nigeria,Vrouw,460,Zonder specialiteit,16,1,15,166,62,[],False,,13,8,2,2,0,2,6,0,0
Onbekend,Abbà Irma,5688459,15,Italia,Vrouw,350,Zonder specialiteit,20,1,15,172,69,[],False,,16,1,4,2,1,1,3,0,0
Onbekend,Abdelaziz Nefertiti,5689602,18,Miṣr,Vrouw,650,Zonder specialiteit,18,1,15,171,63,[],False,,6,3,6,3,10,3,1,0,0
5.000 meter,Abejuela Úrsula,4964790,35,España,Vrouw,3390,Langeafstandslopers,17,11,18,175,62,"[('5.000 meter', '19:03.07', '773', 7), ('10.000 meter', '41:47.78', '751', 7), ('Marathon', '2h:56:14.45', '779', 7)]",False,,20,0,11,7,0,2,0,7,7
1.500 meter,Abellán Marimar,5165285,29,España,Vrouw,31190,Middenafstandslopers,20,8,15,189,96,"[('800 meter', '2:25.92', '870', 7), ('1.500 meter', '4:40.17', '959', 7), ('3.000 meter steeplechase', '14:50.96', '1021', 7)]",False,,19,1,20,12,5,1,3,10,9
Onbekend,Abente Eloisa,5689167,17,España,Vrouw,120,Zonder specialiteit,13,1,15,177,71,[],False,,7,3,3,3,6,2,0,0,0
Onbekend,Ablanedo Gorka,5666091,18,España,Man,1230,Springers,20,1,16,184,83,"[('Hoogspringen', '0.90 m', '133', 7), ('Polsstokhoogspringen', '2.34 m', '98', 7), ('Verspringen', '3.68 m', '218', 7), ('Hinkstapspringen', '6.69 m', '127', 7)]",False,,12,3,1,6,2,7,3,8,9
Onbekend,Aboub Ilias,5690219,16,Al-Maghrib,Man,330,Zonder specialiteit,12,1,15,175,75,[],False,,15,0,1,2,1,6,2,0,0
Onbekend,Abramov Innokentiy,5687525,15,Rossiya,Man,1760,Zonder specialiteit,17,1,14,175,72,[],False,,20,2,1,10,1,2,4,0,0
Onbekend,Abuda Igme,5690080,21,Pilipinas,Man,370,Zonder specialiteit,14,1,15,174,73,[],False,,14,1,2,7,7,4,4,0,0
Onbekend,Aceituno Joana,5684844,16,España,Vrouw,580,Zonder specialiteit,20,1,15,170,65,[],False,,13,3,1,1,8,2,8,0,0
Onbekend,Acerbi Dario,5688280,14,Italia,Man,420,Zonder specialiteit,11,1,15,160,60,[],False,,11,0,2,9,0,4,2,0,0
Onbekend,Aceska Anna,5689218,20,FYR Makedonija,Vrouw,1040,Zonder specialiteit,13,1,15,181,77,[],False,,8,8,3,3,10,3,2,0,0
Onbekend,Acevedo Leónidas,5690010,19,Perú,Man,1370,Zonder specialiteit,20,1,15,184,84,[],False,,18,10,2,3,1,3,1,0,0
Onbekend,Acevedo Simoncito,5689190,20,Venezuela,Man,830,Zonder specialiteit,11,1,15,186,89,[],False,,18,5,1,2,5,8,5,0,0
Onbekend,Acharjee Assam Hemamalini,5689641,22,India,Vrouw,810,Zonder specialiteit,16,1,15,184,77,[],False,,16,5,3,1,2,3,9,0,0
Onbekend,Acosta Carlotta,5690410,21,Uruguay,Vrouw,400,Zonder specialiteit,19,1,15,169,67,[],False,,10,1,1,9,0,2,3,0,0
Onbekend,Acosta Juana,5689435,19,Uruguay,Vrouw,860,Zonder specialiteit,19,1,15,172,64,[],False,,13,3,9,1,1,2,8,0,0
Onbekend,Adami David,5688993,17,Malta,Man,810,Zonder specialiteit,15,1,14,165,67,[],False,,11,5,9,2,8,1,2,0,0
Onbekend,Adamko Rudolf,5688048,16,Slovensko,Man,490,Zonder specialiteit,19,1,15,177,81,[],False,,8,6,3,9,3,2,2,0,0
100 meter,Adamovich Hryhoriy,4969173,34,Ukrajina,Man,9590,Sprinters,20,12,16,171,59,"[('100 meter', '12.34 s', '903', 7), ('200 meter', '24.99 s', '907', 7), ('400 meter', '55.19 s', '961', 7), ('110 meter horden', '19.66 s', '816', 7), ('400 meter horden', '1:07.30', '866', 7)]",False,,12,12,0,14,0,0,0,11,9
Onbekend,Adamsen David,5650821,17,Danmark,Man,330,Springers,20,2,16,166,68,"[('Hoogspringen', '0.52 m', '0', 7), ('Polsstokhoogspringen', '1.65 m', '0', 7), ('Verspringen', '2.39 m', '0', 7), ('Hinkstapspringen', '4.52 m', '0', 7)]",False,,8,6,2,3,2,3,6,7,4
20 km snelwandelen,Afonso Brenda,5118635,30,France,Vrouw,53790,Snelwandelaars,20,11,15,170,49,"[('10 km snelwandelen', '57:52.72', '1019', 7), ('20 km snelwandelen', '1h:52:19.71', '1079', 7), ('50 km snelwandelen', '4h:34:58.57', '1060', 7)]",False,,15,0,20,3,3,0,2,10,19
Onbekend,Agafonova Tamara,5688505,22,Belarus,Vrouw,100,Zonder specialiteit,13,1,15,164,55,[],False,,9,2,6,1,2,3,1,0,0
Onbekend,Agiasofitis Platonas,5688426,14,Hellas,Man,370,Zonder specialiteit,17,1,15,159,59,[],False,,13,1,1,5,3,3,8,0,0
Onbekend,Agnoletto Beatrice,5595100,19,Italia,Vrouw,540,Werpers,20,1,13,182,79,"[('Kogelstoten', '4.60 m', '0', 7), ('Discuswerpen', '18.75 m', '0', 7), ('Kogelslingeren', '17.11 m', '0', 7), ('Speerwerpen', '18.72 m', '0', 7)]",False,,14,0,2,3,3,4,9,4,6
Onbekend,Agoye Osaze,5688991,16,Nigeria,Man,1130,Zonder specialiteit,13,1,15,185,83,[],False,,17,3,10,3,3,0,3,0,0
Hoogspringen,Aguirre Cathaysa,5551077,18,España,Vrouw,1430,Springers,20,3,17,176,78,"[('Hoogspringen', '0.99 m', '277', 7), ('Polsstokhoogspringen', '2.29 m', '291', 7), ('Verspringen', '3.22 m', '279', 7), ('Hinkstapspringen', '6.52 m', '294', 7)]",False,,8,5,2,2,9,8,1,8,8
Onbekend,Aguirreburualde Patricia,5688759,16,España,Vrouw,40,Zonder specialiteit,19,1,14,155,52,[],False,,6,1,0,3,3,2,1,0,0
Onbekend,Agúndez Elpidio,5689630,18,México,Man,1060,Zonder specialiteit,12,1,15,171,65,[],False,,20,4,6,2,7,2,1,0,0
Onbekend,Ahmed Suma,5677593,24,Miṣr,Vrouw,1600,Springers,17,1,15,170,60,"[('Hoogspringen', '0.86 m', '164', 7), ('Polsstokhoogspringen', '2.11 m', '223', 7), ('Verspringen', '3.21 m', '277', 7), ('Hinkstapspringen', '6.10 m', '237', 7)]",False,,11,2,2,6,10,10,2,6,4
Onbekend,Aho Anna-Liisa,5690407,23,Suomi,Vrouw,970,Zonder specialiteit,14,1,15,173,64,[],False,,13,3,6,2,2,10,1,0,0
Onbekend,Ahokainen Säde,5687847,16,Suomi,Vrouw,460,Zonder specialiteit,12,1,15,164,58,[],False,,11,3,3,8,8,2,1,0,0
Onbekend,Aimilianou Menelaos,5687530,21,Cyprus,Man,130,Zonder specialiteit,15,1,14,180,83,[],False,,7,3,5,6,5,0,2,0,0
