Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Week,Resultaten test,Club,Transfer deadline,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2
Onbekend,Abadexo Ismael,5785699,16,España,Man,1470,Sprinters,16,1,15,174,77,6,"[('100 Metri', '14.02 s', '580'), ('200 Metri', '28.07 s', '616'), ('400 piani', '1:02.22', '668'), ('110 ostacoli', '20.68 s', '688'), ('400 ostacoli', '1:10.90', '738')]",False,,18,1,1,5,10,1,2,7,6
Onbekend,Abbott Manuel,5825388,17,United States,Man,1210,Zonder specialiteit,18,1,15,166,66,6,[],False,,16,10,2,3,2,1,3,0,0
Onbekend,Abella Martín,5824608,14,Colombia,Man,340,Werpers,14,1,15,169,64,6,[],False,,8,4,2,5,2,1,7,5,6
Onbekend,Aben Harry,5824536,16,Nederland,Man,100,Zonder specialiteit,15,1,15,161,63,6,[],False,,11,3,2,1,3,3,1,0,0
Zevenkamp,Abeyta Matilde,5182188,34,España,Vrouw,4770,Meerkampers,13,12,12,166,65,6,"[('Pentathlon Women - 100 Metres Hurdles', '19.85 s', '801'), ('Pentathlon Women - High Jump', '0.69 m', '452'), ('Pentathlon Women - Shot Put', '7.55 m', '444'), ('Pentathlon Women - Long Jump', '3.2 m', '616'), ('Pentathlon Women - 800 Metres', '2:34.89', '750'), ('Heptathlon - 100 Metres Hurdles', '19.41 s', '861'), ('Heptathlon - High Jump', '0.7 m', '456'), ('Heptathlon - Shot Put', '7.62 m', '448'), ('Heptathlon - 200 Metres', '26.84 s', '778'), ('Heptathlon - Long Jump', '3.25 m', '624'), ('Heptathlon - Javelin Throw', '27.44 m', '579'), ('Heptathlon - 800 Metres', '2:32.28', '796'), ('Pentathlon Women', '3061 p', '612'), ('Heptathlon', '4541 p', '649')]",False,,8,9,1,12,7,0,0,8,10
Onbekend,Aboutrika Moses,5822522,16,Miṣr,Man,70,Zonder specialiteit,13,1,15,166,67,6,[],False,,8,3,2,3,1,4,5,0,0
Speerwerpen,Abrahamian Jonathan,5185769,33,Sverige,Man,5630,Werpers,17,11,15,183,73,6,"[('Getto del peso', '12.25 m', '352'), ('Lancio del disco', '40.69 m', '365'), ('Lancio del martello', '39.83 m', '297'), ('Giavellotto', '45.34 m', '422')]",False,,12,10,0,0,0,0,10,11,11
Onbekend,Abrahamsen Monica,5823611,19,Norge,Vrouw,80,Zonder specialiteit,15,1,15,168,65,6,[],False,,11,1,3,4,1,0,2,0,0
Onbekend,Abram Jasmina,5825542,20,Slovenija,Vrouw,1500,Zonder specialiteit,16,1,15,174,63,6,[],False,,19,8,3,10,0,1,1,0,0
Onbekend,Abramova Kira,5789377,15,Rossiya,Vrouw,890,Springers,15,1,14,168,70,6,"[('Salto in alto', '0.64 m', '0'), (""Salto con l'asta"", '1.52 m', '9'), ('Salto in lungo', '2.35 m', '47'), ('Salto triplo', '4.32 m', '8')]",False,,12,1,1,2,2,10,1,6,5
