Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Week,Resultaten test,Club,Transfer deadline,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2
Onbekend,Ababou Bagwis,5777505,23,Pilipinas,Man,940,Zonder specialiteit,12,1,15,190,88,3,[],False,,17,1,9,3,1,0,1,0,0
Onbekend,Abanilla Datu,5774195,19,Pilipinas,Man,730,Zonder specialiteit,12,1,15,177,74,3,[],False,,16,2,1,8,8,2,4,0,0
Onbekend,Abarca Ana Rosa,5777099,17,Chile,Vrouw,810,Zonder specialiteit,15,1,15,157,57,3,[],False,,19,6,3,1,5,1,1,0,0
Speerwerpen,Abbaglio Filippo,5013806,36,Italia,Man,4640,Werpers,18,11,16,186,82,3,"[('Getto del peso', '12.15 m', '344'), ('Lancio del disco', '40.54 m', '361'), ('Lancio del martello', '39.83 m', '297'), ('Giavellotto', '45.98 m', '436')]",False,,14,9,0,3,0,0,10,10,11
Onbekend,Abbondanza Luigi,5749254,15,Italia,Man,850,Springers,19,1,14,164,71,3,"[('Salto in alto', '0.67 m', '0'), (""Salto con l'asta"", '2.1 m', '28'), ('Salto in lungo', '2.75 m', '23'), ('Salto triplo', '5.81 m', '34')]",False,,15,2,3,0,8,4,3,7,7
Hoogspringen,Abeijón Josué,5123572,36,España,Man,4000,Springers,19,13,11,180,74,3,"[('Salto in alto', '1.15 m', '331'), (""Salto con l'asta"", '3.22 m', '354'), ('Salto in lungo', '4.36 m', '348'), ('Salto triplo', '8.92 m', '361')]",False,,15,0,0,0,8,10,0,9,9
Onbekend,Abidi Nicolas,5771622,14,France,Man,580,Snelwandelaars,10,1,15,152,55,3,"[('Marcia 10Km', '1h:03:04.01', '582'), ('Marcia 20Km', '2h:02:50.52', '588'), ('Marcia 50Km', '5h:12:56.14', '536')]",False,,11,3,9,2,2,6,3,6,5
100 meter,Abigail Hannah,5153033,34,Australia,Vrouw,13960,Sprinters,18,10,13,171,71,3,"[('100 Metri', '13.06 s', '965'), ('200 Metri', '26.32 s', '908'), ('400 piani', '1:01.07', '916'), ('110 ostacoli', '19.65 s', '848'), ('400 ostacoli', '1:12.21', '898')]",False,,20,10,0,17,0,0,0,10,10
Onbekend,Ablanedo Celina,5776263,17,España,Vrouw,950,Werpers,12,1,14,164,59,3,[],False,,14,8,1,2,5,3,3,8,8
Onbekend,Abolkan Kertu,5777469,21,Eesti,Vrouw,90,Zonder specialiteit,11,1,14,180,78,3,[],False,,10,3,5,3,3,1,3,0,0
Onbekend,Abouelkassem Abayomi,5777135,24,Miṣr,Man,120,Zonder specialiteit,14,1,14,185,81,3,[],False,,7,2,2,3,1,1,6,0,0
Onbekend,Abouzeid Funsani,5777587,17,Miṣr,Man,350,Zonder specialiteit,14,1,15,172,67,3,[],False,,15,3,1,1,6,6,1,0,0
Onbekend,Abrahamsson Ludvig,5775230,17,Sverige,Man,120,Zonder specialiteit,13,1,15,173,77,3,[],False,,10,0,2,2,3,6,2,0,0
Onbekend,Abramov Stanislav,5775169,23,Belarus,Man,90,Zonder specialiteit,17,1,14,179,72,3,[],False,,8,4,3,2,5,2,3,0,0
Kogelstoten,Abramović Silvija,5229122,32,Srbija,Vrouw,8740,Werpers,18,14,11,173,69,3,"[('Getto del peso', '8.59 m', '109'), ('Lancio del disco', '34.23 m', '228'), ('Lancio del martello', '30.79 m', '208'), ('Giavellotto', '31.17 m', '325')]",False,,14,3,1,2,5,0,13,11,11
Onbekend,Abreu Oriana,5775365,17,Portugal,Vrouw,910,Zonder specialiteit,17,1,14,169,61,3,[],False,,19,6,7,0,1,3,2,0,0
Onbekend,Abreu Xavier,5767868,14,Uruguay,Man,770,Werpers,12,1,15,162,66,3,"[('Getto del peso', '4.12 m', '0'), ('Lancio del disco', '16.38 m', '0'), ('Lancio del martello', '15.41 m', '0'), ('Giavellotto', '17.55 m', '0')]",False,,19,3,4,2,1,5,6,5,5
Onbekend,Acero June,5772036,17,España,Vrouw,640,Sprinters,10,1,14,157,50,3,"[('100 Metri', '15.26 s', '578'), ('200 Metri', '30.43 s', '539'), ('400 piani', '1:09.81', '580'), ('110 ostacoli', '21.71 s', '595'), ('400 ostacoli', '1:20.03', '641')]",False,,9,2,0,9,2,2,4,5,5
5.000 meter,Aceti Yuri,5573761,20,Italia,Man,830,Langeafstandslopers,20,4,19,191,99,3,"[('5000 Metri', '17:48.65', '528'), ('10000 Metri', '42:39.24', '423'), ('Maratona', '2h:55:40.75', '453')]",False,,10,3,1,9,3,1,1,7,6
Onbekend,Acevedo Sabina,5777282,17,Perú,Vrouw,650,Zonder specialiteit,16,1,15,159,57,3,[],False,,14,8,2,4,2,2,8,0,0
Onbekend,Acharya Kshitij,5699058,19,India,Man,930,Werpers,20,1,15,182,77,3,"[('Getto del peso', '6.54 m', '0'), ('Lancio del disco', '23.19 m', '0'), ('Lancio del martello', '22.96 m', '0'), ('Giavellotto', '26.37 m', '10')]",False,,14,6,1,2,2,2,3,6,9
Onbekend,Ackerman Magda,5776152,23,South Africa,Vrouw,1230,Zonder specialiteit,15,1,14,186,77,3,[],False,,20,3,4,0,8,3,6,0,0
Onbekend,Ackerman Uuka,5777294,22,South Africa,Man,790,Zonder specialiteit,18,1,15,181,83,3,[],False,,17,3,2,1,9,6,3,0,0
400 meter,Ackermann Fred,5567801,26,Switzerland,Man,3820,Sprinters,18,5,16,180,74,3,"[('100 Metri', '13.17 s', '744'), ('200 Metri', '26.54 s', '760'), ('400 piani', '57.52 s', '864'), ('110 ostacoli', '20.08 s', '763'), ('400 ostacoli', '1:08.55', '822')]",False,,10,3,1,12,3,1,0,4,11
Onbekend,Acosta Beatriz,5774820,22,Ecuador,Vrouw,410,Zonder specialiteit,12,1,15,165,59,3,[],False,,8,1,1,1,3,6,9,0,0
Onbekend,Acosta Olga,5775850,24,Costa Rica,Vrouw,160,Zonder specialiteit,17,1,14,165,61,3,[],False,,12,6,1,2,1,3,1,0,0
Onbekend,Acosta Ximena,5775171,16,Ecuador,Vrouw,770,Zonder specialiteit,20,1,15,172,67,3,[],False,,13,10,2,2,1,1,1,0,0
Onbekend,Adamczak Halina,5678387,18,Polska,Vrouw,1070,Werpers,20,1,13,174,76,3,"[('Getto del peso', '7.06 m', '13'), ('Lancio del disco', '26.59 m', '48'), ('Lancio del martello', '23.33 m', '17'), ('Giavellotto', '23.12 m', '92')]",False,,17,5,2,3,2,2,9,7,7
50 km snelwandelen,Adamczewska Alicja,5596275,27,Polska,Vrouw,2720,Snelwandelaars,17,3,11,164,63,3,"[('Marcia 10Km', '1h:04:23.75', '765'), ('Marcia 20Km', '2h:11:00.50', '715'), ('Marcia 50Km', '5h:15:23.40', '736')]",False,,7,3,10,3,6,1,2,9,11
Onbekend,Ādamsons Ainārs,5776685,15,Latvija,Man,60,Zonder specialiteit,12,1,14,167,67,3,[],False,,7,3,3,3,0,4,2,0,0
Onbekend,Adelaide Berthe,5767942,14,France,Vrouw,360,Langeafstandslopers,11,1,15,153,53,3,"[('5000 Metri', '21:33.83', '444'), ('10000 Metri', '46:53.09', '445'), ('Maratona', '3h:16:35.43', '492')]",False,,12,3,6,2,0,1,2,6,7
Onbekend,Adeleke Ige,5777193,17,Nigeria,Vrouw,970,Zonder specialiteit,16,1,15,158,53,3,[],False,,18,1,3,7,8,6,2,0,0
Onbekend,Adeola Nnenia,5776169,18,Nigeria,Vrouw,1040,Zonder specialiteit,11,1,15,174,68,3,[],False,,19,8,2,1,1,5,1,0,0
Onbekend,Aesma Karina,5774650,17,Eesti,Vrouw,980,Zonder specialiteit,17,1,15,169,63,3,[],False,,19,9,2,0,3,1,1,0,0
Onbekend,Afanasyeva Anna,5776578,20,Belarus,Vrouw,840,Zonder specialiteit,16,1,15,179,70,3,[],False,,6,1,1,10,3,6,0,0,0
Onbekend,Agadakou Tzina,5702771,18,Hellas,Vrouw,460,Middenafstandslopers,20,1,15,178,82,3,"[('800 Metri', '2:48.30', '502'), ('1500 Metri', '5:37.37', '488'), ('3000 siepi', '17:57.37', '551')]",False,,8,8,2,2,2,3,1,6,7
Onbekend,Agafonov Leonid,5774201,18,Belarus,Man,1730,Zonder specialiteit,14,1,15,179,76,3,[],False,,8,3,10,3,0,10,0,0,0
Onbekend,Agafonov Svyatoslav,5775823,21,Rossiya,Man,2200,Zonder specialiteit,16,1,14,189,85,3,[],False,,20,10,2,2,1,8,2,0,0
Onbekend,Agapito Igme,5774812,15,Pilipinas,Man,250,Zonder specialiteit,19,1,14,169,66,3,[],False,,6,0,2,8,3,3,1,0,0
10 km snelwandelen,Agatonović Jeca,5273769,31,Srbija,Vrouw,13480,Snelwandelaars,15,16,13,162,52,3,"[('Marcia 10Km', '1h:00:13.42', '927'), ('Marcia 20Km', '2h:03:26.41', '862'), ('Marcia 50Km', '5h:03:40.68', '830')]",False,,7,1,13,2,6,2,0,13,9
Onbekend,Agea Dácil,5773273,16,España,Vrouw,760,Zonder specialiteit,11,1,14,164,64,3,[],False,,11,10,2,2,2,1,3,0,0
Onbekend,Agnolet Raffaele,5775323,16,Italia,Man,960,Langeafstandslopers,14,1,14,171,69,3,"[('5000 Metri', '17:16.89', '609'), ('10000 Metri', '40:48.57', '546'), ('Maratona', '2h:44:17.01', '636')]",False,,7,1,10,7,3,1,5,5,6
Onbekend,Agrawal Anulekha,5776620,16,India,Vrouw,50,Zonder specialiteit,20,1,14,168,60,3,[],False,,7,0,4,3,0,0,0,0,0
Onbekend,Águas Tatiana,5773412,16,Portugal,Vrouw,700,Snelwandelaars,15,1,15,166,64,3,"[('Marcia 10Km', '1h:09:18.05', '575'), ('Marcia 20Km', '2h:20:37.38', '527'), ('Marcia 50Km', '5h:52:06.65', '441')]",False,,13,3,3,3,4,9,2,4,7
Onbekend,Águila Anna,5774086,17,El Salvador,Vrouw,420,Zonder specialiteit,12,1,14,154,48,3,[],False,,16,2,1,2,7,5,3,0,0
Onbekend,Aguilar Alexis,5741385,16,Colombia,Man,1550,Werpers,14,1,15,173,78,3,"[('Getto del peso', '6.27 m', '0'), ('Lancio del disco', '23.61 m', '0'), ('Lancio del martello', '22.88 m', '0'), ('Giavellotto', '25.58 m', '0')]",False,,19,4,1,1,1,6,10,6,6
Onbekend,Aguilar Kidlat,5776572,23,Pilipinas,Man,400,Zonder specialiteit,13,1,14,185,84,3,[],False,,9,1,3,0,9,3,0,0,0
Onbekend,Aguilar Lucrecia,5776073,17,Argentina,Vrouw,700,Zonder specialiteit,16,1,15,160,57,3,[],False,,18,3,2,7,1,0,3,0,0
Onbekend,Aguilar Nita,5776816,21,Chile,Vrouw,1530,Zonder specialiteit,15,1,14,175,66,3,[],False,,14,10,6,9,1,3,0,0,0
Onbekend,Aguilar Roberto,5774846,20,Chile,Man,890,Zonder specialiteit,17,1,14,188,86,3,[],False,,18,3,3,9,3,1,3,0,0
Onbekend,Aguirre Alejandrina,5775306,17,Uruguay,Vrouw,470,Werpers,17,1,14,162,54,3,[],False,,11,1,2,2,0,2,9,3,5
Onbekend,Aho Anu,5777547,22,Suomi,Vrouw,300,Zonder specialiteit,17,1,15,182,80,3,[],False,,7,3,3,2,3,2,8,0,0
Onbekend,Ahokas Tero,5775720,17,Suomi,Man,810,Zonder specialiteit,18,1,14,167,66,3,[],False,,9,2,3,1,3,1,10,0,0
Onbekend,Ahola Anja,5774655,18,Suomi,Vrouw,640,Zonder specialiteit,20,1,14,160,57,3,[],False,,15,3,3,2,3,9,1,0,0
Onbekend,Ahuja Kumaragupta,5777495,22,India,Man,370,Zonder specialiteit,20,1,15,182,83,3,[],False,,15,3,3,0,1,3,7,0,0
Onbekend,Aidini Olia,5621102,20,Hellas,Vrouw,5090,Sprinters,20,1,11,184,84,3,"[('100 Metri', '14.13 s', '776'), ('200 Metri', '28.2 s', '739'), ('400 piani', '1:04.88', '769'), ('110 ostacoli', '20.34 s', '763'), ('400 ostacoli', '1:15.00', '806')]",False,,11,8,2,14,3,2,2,7,7
Onbekend,Aikhena Osakwe,5777311,20,Nigeria,Man,810,Zonder specialiteit,20,1,14,187,82,3,[],False,,18,7,2,8,4,3,1,0,0
Onbekend,Airaghi Enzo,5742841,17,Italia,Man,1670,Sprinters,11,1,14,170,75,3,"[('100 Metri', '13.57 s', '667'), ('200 Metri', '27.11 s', '707'), ('400 piani', '1:00.10', '756'), ('110 ostacoli', '20.55 s', '704'), ('400 ostacoli', '1:10.68', '745')]",False,,8,4,3,10,1,3,5,8,8
Onbekend,Akabusi Lee,5777628,14,Great Britain,Man,710,Zonder specialiteit,14,1,15,167,65,3,[],False,,9,10,2,1,2,2,2,0,0
Onbekend,Akindele Azalee,5774699,15,Nigeria,Vrouw,450,Zonder specialiteit,17,1,15,163,60,3,[],False,,17,1,1,4,2,1,3,0,0
Onbekend,Alamos Rafael,5776688,20,Chile,Man,970,Zonder specialiteit,19,1,15,192,89,3,[],False,,17,9,2,1,2,3,3,0,0
Onbekend,Alarcón Blas,5772836,16,España,Man,620,Werpers,16,1,15,166,68,3,"[('Getto del peso', '7.62 m', '0'), ('Lancio del disco', '26.29 m', '31'), ('Lancio del martello', '24.73 m', '0'), ('Giavellotto', '26.32 m', '3')]",False,,8,8,3,0,2,6,6,7,5
Onbekend,Alas Arnold,5776630,23,Pilipinas,Man,420,Zonder specialiteit,14,1,14,187,86,3,[],False,,13,8,4,3,3,3,2,0,0
Onbekend,Alaviano Débora,5775895,16,España,Vrouw,50,Zonder specialiteit,13,1,14,169,68,3,[],False,,7,2,0,3,1,1,2,0,0
Onbekend,Alber Roberta,5776534,19,Switzerland,Vrouw,740,Zonder specialiteit,20,1,15,160,55,3,[],False,,18,1,2,2,7,1,3,0,0
Onbekend,Alberman Chaya,5777179,24,Yisra'el,Vrouw,430,Zonder specialiteit,18,1,15,170,61,3,[],False,,15,5,8,3,0,3,3,0,0
Onbekend,Albuquerque Albino,5731948,24,Portugal,Man,420,Werpers,20,1,11,186,78,3,"[('Getto del peso', '6.29 m', '0'), ('Lancio del disco', '22.05 m', '0'), ('Lancio del martello', '21.6 m', '0'), ('Giavellotto', '24.91 m', '0')]",False,,11,4,1,2,2,1,9,4,5
Onbekend,Albuşel Dorinel,5774706,15,România,Man,680,Zonder specialiteit,12,1,14,164,67,3,[],False,,7,2,1,10,0,3,3,0,0
Verspringen,Alcaine Pol,5419594,26,España,Man,26900,Springers,19,6,13,173,65,3,"[('Salto in alto', '1.42 m', '538'), (""Salto con l'asta"", '3.84 m', '533'), ('Salto in lungo', '5.46 m', '580'), ('Salto triplo', '10.22 m', '499')]",False,,16,2,1,2,4,20,1,11,10
Onbekend,Alcantara Eustaquio,5737620,27,Brasil,Man,3300,Sprinters,20,1,11,186,84,3,"[('100 Metri', '13.16 s', '746'), ('200 Metri', '26.42 s', '772'), ('400 piani', '58.54 s', '821'), ('110 ostacoli', '20.18 s', '751'), ('400 ostacoli', '1:09.04', '804')]",False,,20,9,4,10,4,2,1,9,9
